00:00:00-00:00:02 就這麼簡單跟你說
00:09:04-00:09:05 其實我用HP早就知道這個項目了
00:09:05-00:09:06 我就說
00:09:06-00:09:07 啊
00:09:07-00:09:08 我想用這個滿足我的需求
00:09:08-00:09:09 我想調研這個AI板塊的股票
00:09:09-00:09:10 我可以怎麼借用啊
00:09:10-00:09:11 這個工具的數據層
00:09:11-00:09:12 對吧
00:09:12-00:09:13 它的前端展示
00:09:13-00:09:14 !是怎麼實現的
00:09:14-00:09:15 要不要錢啊
00:09:15-00:09:16 對吧
00:09:16-00:09:17 對吧
00:09:17-00:09:18 先問它
00:09:18-00:09:19 它直接回答你啊
00:09:19-00:09:20 AI股有這些
00:09:20-00:09:21 對吧
00:09:21-00:09:22 英偉達
00:09:22-00:09:23 AMD等等
00:09:23-00:09:24 建議的工作流
00:09:24-00:09:25 等等等等啊
00:09:25-00:09:26 這些我是看的懂
00:09:26-00:09:27 因為我本身做這行的
00:09:27-00:09:28 所以它是直接
00:09:28-00:09:29 它瞭解我
00:09:29-00:09:30 因為我之前一直用Python代碼
00:09:30-00:09:31 所以它直接返回給我Python代碼
00:09:31-00:09:32 就裡面
00:09:32-00:09:33 是甚麼結構的
00:09:33-00:09:34 數據
00:09:34-00:09:35 是甚麼結構的
00:09:35-00:09:37 數據
00:09:37-00:09:38 是甚麼結構的
00:09:38-00:09:39 是甚麼結構的
00:09:39-00:09:40 是甚麼結構的
00:09:40-00:09:41 是甚麼結構的
00:09:41-00:09:42 是甚麼結構的
00:09:42-00:09:43 是甚麼結構的
00:09:43-00:09:44 是甚麼結構的
00:09:44-00:09:46 是甚麼結構的
00:09:46-00:09:47 數據怎麼實現的
00:09:47-00:09:48 對吧
00:09:48-00:09:49 你先瞭解它
00:09:49-00:09:51 那關鍵就這兩個工具了
00:09:51-00:09:52 新型軟件才有的
00:09:52-00:09:54 經常聽到的
00:09:54-00:09:56 LongChain跟這個LongGraph
00:09:56-00:09:57 就是說
00:09:57-00:09:59 我有一個長面路
00:09:59-00:10:01 跟AI大模型去調度的
00:10:01-00:10:03 再來管理一個多元功能
00:10:03-00:10:04 都在裡面了
00:10:04-00:10:05 他寫在裡面了
00:10:05-00:10:07 我就通過這個來學習了
00:10:07-00:10:09 我後面想開發一個科研的項目
00:10:09-00:10:13 就通過這個項目去學習
00:10:13-00:10:14 我都不用寫代碼
00:10:14-00:10:15 我都讓AI去做
00:10:15-00:10:16 對吧
00:10:19-00:10:20 他數據路由哪來的
00:10:20-00:10:21 是雅虎的
00:10:21-00:10:22 finance
00:10:22-00:10:23 還有一些
00:10:23-00:10:24 Fed
00:10:24-00:10:26 就是美聯儲的
00:10:26-00:10:28 Point Market等等的數據來源
00:10:28-00:10:29 還有情緒的
00:10:29-00:10:30 包括一些推達
00:10:30-00:10:32 還有不配的等等
00:10:32-00:10:33 他有一些地方
00:10:33-00:10:35 可以拿到一些情緒的數據
00:10:36-00:10:38 原來數據是這樣子的
00:10:38-00:10:39 然後Dashboard怎麼實現
00:10:39-00:10:40 他說他沒有Dashboard
00:10:40-00:10:42 只能用命令行
00:10:42-00:10:43 那也OK
00:10:43-00:10:44 你後面有需要
00:10:44-00:10:46 你自己讓他寫個Dashboard就可以了
00:10:46-00:10:48 你有需要讓他寫
00:10:48-00:10:49 就變成你的工作台了
00:10:49-00:10:50 對吧
00:10:52-00:10:53 然後他有沒有甚麼權限啊
00:10:53-00:10:54 甚麼都沒有
00:10:54-00:10:55 他就是一個
00:10:55-00:10:59 一個幫你多個員工去辯論的一個工具
00:10:59-00:11:00 你看我命令行
00:11:00-00:11:02 我的POM現在就用了一句話而已
00:11:02-00:11:04 要不要費用啊
00:11:04-00:11:05 是要的
00:11:05-00:11:07 因為他裡面就會自動調用大模型
00:11:07-00:11:08 數據是不用錢的
00:11:08-00:11:09 很多數據不用錢
00:11:09-00:11:10 但是呢
00:11:10-00:11:13 你要調那個大模型是要錢的
00:11:17-00:11:18 例如
00:11:18-00:11:19 默認是5.5的
00:11:19-00:11:20 然後呢
00:11:20-00:11:23 我後來發現我的GMP是會員制的
00:11:23-00:11:24 沒有API
00:11:24-00:11:25 所以我就直接用了DipSea
00:11:25-00:11:28 DipSea直接把你的API輸進去
00:11:28-00:11:29 那就可以
00:11:29-00:11:30 幫你完成這個分析啊
00:11:30-00:11:33 然後我自己有需求哦
00:11:33-00:11:34 我說
00:11:34-00:11:36 哎你就分析一個英偽答不行啊
00:11:36-00:11:37 我要分析20支
00:11:37-00:11:38 對吧
00:11:38-00:11:40 我要對比一下這20支哪支更好
00:11:40-00:11:42 然後呢
00:11:42-00:11:44 我自己還想加一些分析進去
00:11:44-00:11:46 來做這個事情
00:11:48-00:11:50 然後你看他先幫我講清楚了
00:11:50-00:11:51 這個項目是長這樣的
00:11:52-00:11:53 你有了股票代碼
00:11:53-00:11:54 有了分析日期
00:11:54-00:11:55 他有分析師
00:11:55-00:11:57 分析價格的
00:11:57-00:11:58 分析新聞的
00:11:58-00:11:59 分析情緒的
00:11:59-00:12:00 分析公司財報的
00:12:00-00:12:01 最後呢
00:12:01-00:12:03 這裡這個Soutoken
00:12:03-00:12:04 這裡呢是
00:12:04-00:12:06 拿到數據直接腳本
00:12:06-00:12:07 開始分析
00:12:07-00:12:08 然後分析完呢
00:12:08-00:12:09 這兩邊呢
00:12:09-00:12:11 就開始調大模型
00:12:11-00:12:12 再辯論了
00:12:12-00:12:13 多空辯論
00:12:13-00:12:14 最後
00:12:14-00:12:15 研究經理來決策
00:12:15-00:12:16 告訴你
00:12:16-00:12:18 哪些是可以買的
00:12:18-00:12:19 哪些是不能買的
00:12:19-00:12:20 OK
00:12:24-00:12:25 那怎麼安裝
00:12:25-00:12:26 他也告訴你了
00:12:26-00:12:27 那API怎麼輸
00:12:27-00:12:28 你輸你的
00:12:28-00:12:30 你想要用的大模型
00:12:30-00:12:31 就可以了
00:12:31-00:12:34 第一次測試呢
00:12:34-00:12:35 他都給你建議了
00:12:35-00:12:36 所以其實是
00:12:36-00:12:38 不要想的太複雜
00:12:38-00:12:39 就是我們要知道
00:12:39-00:12:41 我們要用哪個工具
00:12:41-00:12:42 先讓那個
00:12:42-00:12:44 Agent Reach
00:12:44-00:12:45 去收到這個工具
00:12:45-00:12:46 然後讓他
00:12:46-00:12:47 讓你先瞭解這個工具
00:12:47-00:12:49 然後你才能二次改造它
00:12:49-00:12:50 變成服務你的一個
00:12:50-00:12:52 變成服務你的一個機器人
00:12:52-00:12:57 好這些數據都支持了
00:12:57-00:12:59 然後我就可以直接測試一下
00:12:59-00:13:00 對吧
00:13:00-00:13:03 這些你們可以回去再看
00:13:03-00:13:09 我已經存在我的那個教學的網線上面
00:13:09-00:13:11 然後基本上他的代碼
00:13:11-00:13:12 幫我已經幫我改寫完了
00:13:12-00:13:14 我也沒寫一行代碼
00:13:14-00:13:15 幫我改寫完
00:13:15-00:13:16 20支股票的真心
00:13:16-00:13:17 對吧
00:13:17-00:13:18 寫完了
00:13:18-00:13:19 最好不要一次性調用
00:13:19-00:13:20 就是那個專行的去調用
00:13:20-00:13:22 一個一個來運行
00:13:22-00:13:23 不要一次性調
00:13:23-00:13:24 可能你就會超出請求啊
00:13:24-00:13:26 請求限制啊等等
00:13:26-00:13:28 好這裡呢
00:13:28-00:13:30 這裡呢這裡複雜了一點點啊
00:13:30-00:13:32 就是你它需要你寫你的一個
00:13:32-00:13:34 模型的API
00:13:34-00:13:36 這就是新型軟件啊
00:13:36-00:13:38 它裡面就欠了
00:13:38-00:13:40 智能體和調用大模型的模式
00:13:40-00:13:41 它是這個功能就是這個功能
00:13:41-00:13:42 而是你每次給他不同的數據
00:13:42-00:14:07 他都能給你實時的一個新的東西出來
00:14:07-00:14:09 是思考過推理過的
00:14:09-00:14:11 而不是死的一個東西
00:14:11-00:14:13 ok
00:14:13-00:14:15 好我是我就問了
00:14:15-00:14:16 哎呀我又不是
00:14:16-00:14:17 我又我只是
00:14:17-00:14:18 我只是破的會員
00:14:18-00:14:19 我沒有API
00:14:19-00:14:20 然後後面就就就就
00:14:20-00:14:21 就調用成了Dipshift
00:14:21-00:14:22 DeepSeek
00:14:22-00:14:23 也可以
00:14:23-00:14:24 好
00:14:24-00:14:25 然後最後就試一下
00:14:25-00:14:26 對吧
00:14:26-00:14:27 就出來了
00:14:27-00:14:28 這報告就出來了
00:14:28-00:14:31 包括英偉拿最新採報的分析等等等等
00:14:31-00:14:32 ok
00:14:32-00:14:34 那我們看一下它出來的結果啊
00:14:34-00:14:36 這壓根我就想了三句話
00:14:36-00:14:37 沒了
00:14:37-00:14:39 英偉拿看一下
00:14:39-00:14:41 27號的報告對吧
00:14:41-00:14:43 直接做成了這麼詳細的
00:14:47-00:14:48 對吧
00:14:48-00:14:50 AI股票報告
00:14:50-00:14:52 !它的財報增長多少啊對吧
00:14:52-00:14:54 Q2直接漲飛了
00:14:54-00:14:56 賺了960公元億
00:14:56-00:14:57 毛利率
00:14:57-00:14:58 毛利率
00:14:58-00:14:59 毛利率直接75%
00:14:59-00:15:03 各種報告啊
00:15:03-00:15:05 甚麼業務分析等等等等啊
00:15:05-00:15:06 價格分析
00:15:06-00:15:08 情緒分析
00:15:08-00:15:10 還有宏觀
00:15:10-00:15:11 !甚麼加息不加息
00:15:11-00:15:13 都有
00:15:13-00:15:15 因為它已經把所有的數據給了
00:15:15-00:15:17 調用了那幾個Agent
00:15:17-00:15:18 跟大模型聊過了
00:15:18-00:15:19 才出了這個報告
00:15:19-00:15:21 最後多空辯論
00:15:21-00:15:22 給你一個結論
00:15:24-00:15:25 拉到最後就可以了
00:15:26-00:15:27 這個這個效果
00:15:27-00:15:28 其實它是大很多的
00:15:28-00:15:29 它的建議是趕緊買
00:15:29-00:15:30 對吧
00:15:30-00:15:32 那你當然可以人工審查一下
00:15:32-00:15:33 哈哈
00:15:33-00:15:35 我只是給大家演示了一遍
00:15:35-00:15:36 甚麼叫
00:15:36-00:15:38 人家現在開發的工具已經是這麼先進了
00:15:38-00:15:39 有多Agent在裡面
00:15:39-00:15:40 有實時調用API
00:15:40-00:15:42 去調大模型的一個功能
00:15:42-00:15:46 所以我現在研發的科研的自己工作的項目
00:15:46-00:15:49 我都會調用這樣的一些思路了
00:15:49-00:15:50 對吧
00:15:50-00:15:52 怎麼讓它實時跟大模型對話
00:15:52-00:15:53 燒這個API token
00:15:53-00:15:55 最後怎麼調用多個智能體
00:15:55-00:15:56 怎麼部署成服務
00:15:56-00:15:57 等等等等啊
00:15:57-00:15:58 怎麼控製成本
00:15:58-00:15:59 OK
00:16:01-00:16:02 好
00:16:02-00:16:03 是沒改動過的版本啊
00:16:03-00:16:05 就是我都沒有讓它
00:16:05-00:16:07 做20支股票的對比
00:16:07-00:16:09 然後最後呢做成了20支
00:16:09-00:16:10 OK
00:16:10-00:16:12 都是英文的
00:16:12-00:16:14 中文
00:16:14-00:16:15 20支
00:16:15-00:16:16 然後就對比啊
00:16:16-00:16:18 這個是芯片板塊的
00:16:18-00:16:20 這個是雲計算的
00:16:20-00:16:21 數據中心的
00:16:21-00:16:22 對吧
00:16:22-00:16:24 然後AI軟件的
00:16:24-00:16:25 OK
00:16:25-00:16:28 已經是二次開發了
00:16:28-00:16:30 你寫了你的Hardless
00:16:30-00:16:32 跟你的一個想法進去
00:16:32-00:16:33 它直接就把你開發了
00:16:33-00:16:36 然後你想把它做成服務很簡單
00:16:36-00:16:40 你把這個Agent直接找一台本地電腦也行
00:16:40-00:16:42 雲服務器也行
00:16:42-00:16:43 你就說
00:16:43-00:16:44 每周幫我自動跑一次
00:16:44-00:16:45 發到我郵箱
00:16:45-00:16:46 或者每天
00:16:46-00:16:47 對吧
00:16:47-00:16:48 它就可以每天幫給你啊
00:16:48-00:16:50 你都不用自己瞎分析了
00:16:50-00:16:51 打開
00:16:51-00:16:52 哦
00:16:52-00:16:53 因為這麼厲害
00:16:53-00:16:54 別的股票怎麼樣
00:16:54-00:16:55 等等等等
00:16:55-00:16:56 那你要改它
00:16:56-00:16:58 你覺得這個數據我覺得不行
00:16:58-00:16:59 不滿意
00:16:59-00:17:00 我要換一個數據
00:17:00-00:17:02 你再跟A說那可以吧
00:17:02-00:17:03 OK
00:17:03-00:17:19 所以你可以看到它的一個結構啊
00:17:19-00:17:20 就是
00:17:20-00:17:22 我用了哪些數據
00:17:22-00:17:24 然後怎麼辯論
00:17:24-00:17:25 怎麼損准
00:17:25-00:17:26 怎麼掉大模型的
00:17:26-00:17:27 最後怎麼做決策的
00:17:27-00:17:29 你這個每一個環節啊
00:17:29-00:17:31 你都可以去更改了
00:17:31-00:17:34 然後最後變成分析20支某個板塊
00:17:34-00:17:35 都可以
00:17:35-00:17:36 這個水裡面
00:17:36-00:17:37 但是你要先理解它
00:17:37-00:17:38 你才能更改它啊
00:17:41-00:17:42 好
00:17:42-00:17:43 這就是我做的流程了
00:17:43-00:17:44 大家可以看一下
00:17:44-00:17:46 那最關鍵就是兩個新的技術
00:17:46-00:17:48 以前沒有自能體的時候
00:17:48-00:17:49 是沒有這兩個玩意的
00:17:49-00:17:51 浪漫就是說我在這個軟件裡面
00:17:51-00:17:52 這個項目裡面
00:17:52-00:17:55 它可以知道怎麼去發體試詞啊
00:17:55-00:17:56 跟大模型交互啊
00:17:56-00:17:57 拿到上下文啊
00:17:57-00:17:58 最後持續的
00:17:58-00:17:59 有一個一串的
00:17:59-00:18:01 一串的一個路的一個
00:18:01-00:18:02 智能體去做事
00:18:02-00:18:04 那怪不得
00:18:04-00:18:05 我是怎麼去分工的啊
00:18:05-00:18:06 怎麼交互的呀
00:18:06-00:18:07 怎麼去完成
00:18:07-00:18:08 A到B
00:18:08-00:18:09 再到A
00:18:09-00:18:10 無限循環
00:18:10-00:18:11 那這個呢
00:18:11-00:18:12 就是我們
00:18:12-00:18:13 哎
00:18:13-00:18:14 這個呢
00:18:14-00:18:15 就是我們
00:18:15-00:18:16 哎
00:18:16-00:18:17 這個呢
00:18:17-00:18:20 新的項目
00:18:20-00:18:21 部署成服務
