00:00:00-00:00:01 還可以提問
00:02:22-00:02:23 我不知道這裡有沒有程序語
00:02:23-00:02:24 就是這張格式
00:02:24-00:02:26 它可以非常準確地
00:02:26-00:02:27 就指引一張圖
00:02:27-00:02:28 甚麼地方
00:02:28-00:02:29 應該放甚麼東西
00:02:29-00:02:31 所以我們在深一些海報
00:02:31-00:02:33 或者說我們在處理一些
00:02:33-00:02:34 給客戶的營銷海報
00:02:34-00:02:35 能處接的東西的時候
00:02:35-00:02:37 我們一般會有這種方式
00:02:37-00:02:38 那圖片的精細化控制
00:02:38-00:02:40 會把像一個人一樣
00:02:40-00:02:42 一個導演一樣
00:02:42-00:02:43 去形容一張圖
00:02:43-00:02:44 那短短的話
00:02:44-00:02:45 就是我們之前
00:02:45-00:02:48 在CNAS 2.5還沒出來的時候
00:02:48-00:02:49 我們經常會做
00:02:49-00:02:51 非常複雜的這種提示詞
00:02:51-00:02:53 而且很多的時候會是英語
00:02:53-00:02:55 因為AI對於英語的識別
00:02:55-00:02:57 會比中文的識別會好一些
00:02:57-00:02:58 精神都會更高一些
00:02:58-00:03:00 在當時是這個樣子
00:03:00-00:03:02 所以這其實就是我們說
00:03:02-00:03:04 你今天你處於甚麼樣的行業
00:03:04-00:03:07 你處於甚麼樣的這樣的一個
00:03:07-00:03:09 工作的領域裡面
00:03:09-00:03:10 你要學會去探索
00:03:10-00:03:12 甚麼樣的提示詞
00:03:12-00:03:13 會對你這個工作的這種
00:03:13-00:03:15 幫助會更大
00:03:15-00:03:16 你可以通過代碼
00:03:16-00:03:18 因為它都是語言形式
00:03:18-00:03:20 它都是這種表達形式
00:03:20-00:03:22 所以你可以通過探索不同的格式
00:03:22-00:03:23 不同的形式
00:03:23-00:03:25 去看到底哪種方式
00:03:25-00:03:26 是更好的去控制你這件事情的
00:03:26-00:03:27 非常地不一樣
00:03:27-00:03:30 那還有一個點
00:03:30-00:03:32 就是說在AI交互的過程中
00:03:32-00:03:32 有非常多的問題
00:03:32-00:03:34 就類似於你今天給了他
00:03:34-00:03:35 一個提示詞
00:03:35-00:03:36 類似於我們剛才通過
00:03:36-00:03:37 剛才那個方式
00:03:37-00:03:39 生產出來了
00:03:39-00:03:41 是不是生產出來了
00:03:41-00:03:41 一個提示詞
00:03:41-00:03:42 然後用這個提示詞
00:03:42-00:03:43 出來了這份報告
00:03:43-00:03:45 你會發現這個報告
00:03:45-00:03:46 還蠻詳細的
00:03:46-00:03:47 跟我昨天給你們的
00:03:47-00:03:48 應該差不多了太多
00:03:48-00:03:52 然後你一定會在初次的裡面
00:03:52-00:03:53 去發現一個事情
00:03:53-00:03:53 叫做
00:03:53-00:03:55 它還是有點問題
00:03:55-00:03:57 你要去迭代它
00:03:57-00:03:59 那迭代應該怎麼迭代
00:03:59-00:04:00 其中會出現甚麼樣的問題
00:04:00-00:04:01 以及怎麼迭代
00:04:01-00:04:02 我們在這個裡面
00:04:02-00:04:03 會有一些說法
00:04:03-00:04:08 有點卡到的感覺
00:04:08-00:04:14 稍微再回一下
00:04:14-00:04:20 那首先這一點就是說
00:04:20-00:04:22 如果當你發現了
00:04:22-00:04:25 AI在你寫的這個提示詞
00:04:25-00:04:27 它答非所問
00:04:27-00:04:28 跟你想要輸出的內容
00:04:28-00:04:30 跟你想要的東西
00:04:30-00:04:31 差別非常大的時候
00:04:31-00:04:32 有可能出現甚麼問題
00:04:32-00:04:33 有可能就是
00:04:33-00:04:35 其中的你的目標
00:04:35-00:04:36 你的描述
00:04:36-00:04:38 你沒有讓它認識到
00:04:38-00:04:40 中間可能出現一些
00:04:40-00:04:41 起義或者各於複雜
00:04:41-00:04:43 讓AI難以一次性把握
00:04:43-00:04:44 所以在這個裡面
00:04:44-00:04:45 我們就需要去學會
00:04:45-00:04:46 一些調整的策略
00:04:46-00:04:47 就是等於說
00:04:47-00:04:49 對症下藥
00:04:49-00:04:50 你發現這個提示詞
00:04:50-00:04:51 沒有這樣的用
00:04:51-00:04:53 好像寫出來的
00:04:53-00:04:54 跟我想要的差別很大
00:04:54-00:04:55 然後它出來東西
00:04:55-00:04:56 跟我想要的東西
00:04:56-00:04:58 很不一樣的時候
00:04:58-00:04:58 但這個時候
00:04:58-00:04:59 其實就是
00:04:59-00:05:01 描述不清楚的問題
00:05:01-00:05:02 那你就需要去重申
00:05:02-00:05:04 並且簡化你的目標
00:05:04-00:05:05 你最後要的到底
00:05:05-00:05:06 是不是一份報告
00:05:06-00:05:08 你到底要的是一份文檔
00:05:08-00:05:10 你要的是一份甚麼東西
00:05:10-00:05:11 你要把這個目標
00:05:11-00:05:12 再去強化
00:05:12-00:05:12 讓它說清楚
00:05:12-00:05:14 那第二個就是
00:05:14-00:05:15 我們所說的
00:05:15-00:05:16 那輸出的章節
00:05:16-00:05:17 包括段落的順序
00:05:17-00:05:18 不合邏輯
00:05:18-00:05:19 或者是這個東西
00:05:19-00:05:20 沒有那麼的
00:05:20-00:05:22 按你的方式來
00:05:22-00:05:23 那你可能就是要在裡面
00:05:23-00:05:24 去加上一些
00:05:24-00:05:26 工作流程的引導
00:05:26-00:05:27 你不單單要告訴他
00:05:27-00:05:29 AI要輸出一份甚麼東西
00:05:29-00:05:30 你要告訴他
00:05:30-00:05:31 怎麼去輸出
00:05:31-00:05:33 你的過程是怎麼樣的
00:05:33-00:05:35 那第三就是我們所說的
00:05:35-00:05:37 對輸出格式的要求不對
00:05:37-00:05:37 類似於說
00:05:37-00:05:38 像剛才的過程中
00:05:38-00:05:39 我們有一些地方
00:05:39-00:05:41 我是希望它輸出的
00:05:41-00:05:42 像是表格
00:05:42-00:05:44 我希望它輸出的
00:05:44-00:05:45 像是這種SBG圖
00:05:45-00:05:47 那我怎麼樣去說呢
00:05:47-00:05:48 就等於說
00:05:48-00:05:50 我們要把這種輸出格式
00:05:50-00:05:51 讓它更加的清晰
00:05:51-00:05:52 更加的明確
00:05:52-00:05:54 就是你想要甚麼東西
00:05:54-00:05:55 你就一定要把這個事情
00:05:55-00:05:56 說得更清楚
00:05:56-00:05:58 那同時還有一些就是
00:05:58-00:06:00 我們所說的這種背景信息
00:06:00-00:06:03 為甚麼有的時候你讓AI寫的一篇文章
00:06:03-00:06:04 你覺得它在隨你
00:06:04-00:06:07 因為你給它的背景信息不夠多
00:06:07-00:06:09 有的時候就是我們說
00:06:09-00:06:10 我們說AI沒有辦法叫
00:06:10-00:06:12 還是那句老話叫巧婦難為
00:06:12-00:06:13 無影之吹
00:06:13-00:06:15 當你的內容不夠多的時候
00:06:15-00:06:18 當你的那些具體的信息不夠多的時候
00:06:18-00:06:21 它就很容易去給你虛構
00:06:21-00:06:24 但是虛構的東西其實不是你想要的東西
00:06:24-00:06:26 所以這其實是上下文的問題
00:06:26-00:06:28 它沒有辦法給到你充足的上下文
00:06:28-00:06:32 所以它沒辦法給你做出一盤好菜了
00:06:32-00:06:34 斷到你面前
00:06:34-00:06:35 所以你會發現一件事情
00:06:35-00:06:36 提示詞它是一個
00:06:36-00:06:38 也是一個重要的
00:06:38-00:06:40 就是一門一門課程
00:06:40-00:06:41 如果你把它單的拎出來
00:06:41-00:06:43 它是一門大的課程
00:06:43-00:06:45 就是它會涉及到怎麼去洗
00:06:45-00:06:46 怎麼去優化
00:06:46-00:06:47 怎麼去乾
00:06:47-00:06:49 怎麼去看它裡面的問題
00:06:49-00:06:50 好
00:06:50-00:06:53 提示詞我們就說到這裡
00:06:53-00:06:54 我們再講一個更重要的
00:06:54-00:06:55 在現在來說
00:06:55-00:06:56 可能大家會覺得提升診
00:06:56-00:06:57 哎呀
00:06:57-00:06:59 市面上也流傳了非常多人
00:06:59-00:07:00 在說提示詞不重要
00:07:00-00:07:02 但是實際上我們這裡在用的人
00:07:02-00:07:03 我們就知道提示詞還非常重要
00:07:03-00:07:05 所以把這一塊帶給大家
00:07:05-00:07:06 那接下來講一個
00:07:06-00:07:08 可能大家在上半年到今天
00:07:08-00:07:10 一直會聽到的一個詞叫SKILL
00:07:10-00:07:12 有人經常刷到嗎
00:07:12-00:07:13 有的話可以給我舉個手
00:07:14-00:07:15 經常會刷到SKILL
00:07:15-00:07:17 但知道SKILL是甚麼意思的
00:07:17-00:07:18 請舉個手
00:07:19-00:07:20 有很多人知道
00:07:20-00:07:22 有英語人知道
00:07:22-00:07:23 後來說很多人
00:07:23-00:07:24 OK好
00:07:24-00:07:25 那SKILL其實如果
00:07:25-00:07:27 因為今天在座上大家都不知道
00:07:27-00:07:28 都是從事這個行業的
00:07:28-00:07:29 我們簡單的說
00:07:29-00:07:31 我們可以把它理解為
00:07:31-00:07:33 它是一個進階的提示詞
00:07:33-00:07:35 它是一個更複雜的提示詞
00:07:35-00:07:36 它怎麼去表達呢
00:07:36-00:07:38 它其實是一個文件夾的形式去表達
00:07:38-00:07:40 你今天你去看
00:07:40-00:07:43 類似說昨天我負載文件夾裡面給你們的東西
00:07:43-00:07:44 它其實是一個甚麼東西
00:07:44-00:07:46 它其實就是一個文件夾裡面
00:07:46-00:07:46 有非常多的文件
00:07:46-00:07:48 它就是一個SKILL
00:07:48-00:07:50 它只要在它的文件夾裡面
00:07:50-00:07:53 有一個文件叫做SKILL.MD
00:07:53-00:07:55 它這個東西就算一個SKILL
00:07:55-00:07:56 我給大家打開開一看
00:07:56-00:08:03 我給大家打開開一看
00:08:03-00:08:05 比如說昨天我給大家打開的這個資料
00:08:05-00:08:07 我給大家這個裡面
00:08:07-00:08:08 其實有一些SKILL在
00:08:08-00:08:09 類似於這個
00:08:09-00:08:10 你會發現它裡面有個甚麼文件
00:08:10-00:08:12 就是SKILL.MD
00:08:12-00:08:13 MD是一個maktown的格式
00:08:13-00:08:15 也就是我們所說的AI
00:08:15-00:08:17 最能理解的一個文本格式
00:08:17-00:08:18 它有點像Word
00:08:18-00:08:21 有點像這個我們所說的PDF
00:08:21-00:08:24 你可以理解的就是一種這種格式的類型
00:08:24-00:08:26 那它裡面記錄的都是文字
00:08:26-00:08:28 所以就這樣的一個方式
00:08:28-00:08:30 那你會發現它這個文件夾裡面
00:08:30-00:08:32 這樣的一個文件夾就可以稱為
00:08:32-00:08:34 它是一個SKILL
00:08:34-00:08:36 那在這個裡面
00:08:36-00:08:37 它裡面還會放
00:08:37-00:08:38 類似說很多的復加文件
00:08:38-00:08:39 那這些復加文件
00:08:39-00:08:40 有的是maktown格式
00:08:40-00:08:41 有的是yout格式
00:08:41-00:08:43 所以不同的這些格式
00:08:43-00:08:44 它其實充當了不同的作用
00:08:44-00:08:46 那甚麼作用
00:08:46-00:08:47 所有你們不需要關心
00:08:47-00:08:48 你們只需要關心
00:08:48-00:08:51 SKILL它就是一個複雜的
00:08:51-00:08:53 更複雜一點的提示詞
00:08:53-00:08:56 它能夠指引AI或者Engine
00:08:56-00:08:57 能復完成你的
00:08:57-00:08:58 按你的要求
00:08:58-00:09:00 去完成你的任務就可以了
00:09:00-00:09:01 這樣的一個事情
00:09:01-00:09:02 然後它具體的表現
00:09:02-00:09:05 就是一個文件夾的格式就OK
00:09:06-00:09:07 然後在這裡面
00:09:08-00:09:10 我們看到的就是說
00:09:10-00:09:13 為甚麼從年頭到現在
00:09:13-00:09:15 SKILL一直被大家所重視
00:09:16-00:09:18 其實裡面涉及到幾個點
00:09:18-00:09:19 就是首先SKILL
00:09:19-00:09:22 它可以去做為一個偏好的記錄
00:09:22-00:09:23 例如說我今天
00:09:23-00:09:25 我要去做我的字面題
00:09:25-00:09:27 我每天要寫的東西
00:09:27-00:09:28 是不是一定像是要從
00:09:28-00:09:30 我嘴巴裡面說出來的這種感覺
00:09:30-00:09:32 所以我做了一個SKILL
00:09:32-00:09:33 我可以把這些東西
00:09:33-00:09:34 全部記錄進去
00:09:34-00:09:36 每次寫文章的時候
00:09:36-00:09:37 我只需要給它想法
00:09:37-00:09:38 它就可以按我的方式
00:09:38-00:09:39 去表達出來
00:09:39-00:09:41 因為裡面記錄了
00:09:41-00:09:42 我對於語言的偏好
00:09:42-00:09:45 這是我們所說的SKILL
00:09:45-00:09:46 第一個作用
00:09:46-00:09:48 第一個作用就是效率的提升
00:09:48-00:09:50 大家還記得昨天我發給大家
00:09:50-00:09:50 SKILL
00:09:50-00:09:51 就是做鄉檢驗的那種
00:09:51-00:09:53 以前的時候
00:09:53-00:09:53 你做鄉檢驗
00:09:53-00:09:54 是不是要經歷一個
00:09:54-00:09:56 非常長的複雜的流程
00:09:56-00:09:57 到現在
00:09:57-00:09:58 你有了這樣的SKILL之後
00:09:58-00:09:59 你完全可以通過一張
00:09:59-00:10:03 我們所說的參考圖
00:10:03-00:10:05 加一張產品圖
00:10:05-00:10:05 直接調用
00:10:05-00:10:07 半個小時就可以出
00:10:07-00:10:09 可能你要雅雇一個人
00:10:09-00:10:11 花一周的時間做出來的一套圖
00:10:11-00:10:15 所以它可以達到一個流程的效率提升
00:10:15-00:10:16 第三
00:10:16-00:10:17 它可以成為一個
00:10:17-00:10:19 甚至一個複雜的SKILL
00:10:19-00:10:21 它可以變成一個業務的
00:10:21-00:10:22 甚至我們可以說
00:10:22-00:10:24 就頂一個業務門了
00:10:24-00:10:26 它到底怎麼做到呢
00:10:26-00:10:26 等一下給大家看一下
00:10:26-00:10:28 但在這個之前
00:10:28-00:10:30 我很想教大家兩件事情
00:10:30-00:10:32 就是SKILL這件事情
00:10:32-00:10:33 大家理解到現在
00:10:33-00:10:35 不需要理解的那麼深
00:10:35-00:10:36 你們只需要知道它
00:10:36-00:10:37 是一個文件夾
00:10:37-00:10:39 裡面有個SKILL.MD
00:10:39-00:10:41 這個SKILL.MDG商業的說明書
00:10:41-00:10:42 去告訴我AI
00:10:42-00:10:44 應該怎麼去執行這個任務
00:10:44-00:10:45 就OK了
00:10:45-00:10:46 那對於大家來說
00:10:46-00:10:49 更應該掌握的是這兩個技能
00:10:49-00:10:50 第一個技能叫做
00:10:50-00:10:52 如何去找到一個好用的SKILL
00:10:52-00:10:54 我相信大家也在小文書上面
00:10:54-00:10:56 經常刷到一件事情
00:10:56-00:10:57 這個老師說
00:10:57-00:10:58 我做了一個非常好用的SKILL
00:10:58-00:11:01 他能幫我完成甚麼樣的任務
00:11:01-00:11:02 那個老師就說
00:11:02-00:11:02 這個SKILL
00:11:02-00:11:03 我發現了一個甚麼樣的SKILL
00:11:03-00:11:05 特別好用
00:11:05-00:11:07 那下面就會發現有很多人在評論
00:11:07-00:11:09 老師這個SKILL叫甚麼名字
00:11:09-00:11:12 老師這個SKILL能不能發給我
00:11:12-00:11:13 其實你們完全不需要上出
00:11:13-00:11:17 因為當你今天在網上看到了一個
00:11:17-00:11:19 別人覺得好用的SKILL的時候
00:11:19-00:11:21 你怎麼快速的去找到它
00:11:21-00:11:23 你就只需要看它在整個的
00:11:23-00:11:25 類似過程中
00:11:25-00:11:27 一定會露出它的名字
00:11:27-00:11:29 當你有了這個名字之後
00:11:29-00:11:31 你直接去一個網站叫Dipop
00:11:31-00:11:33 上面你就能收到
00:11:33-00:11:35 一般來說都能收到這個SKILL
00:11:35-00:11:36 舉個例子
00:11:36-00:11:37 類似於說
00:11:37-00:11:39 我今天做了一個
00:11:39-00:11:43 我在網上看到了一個SKILL
00:11:43-00:11:45 叫做SKILL Creator
00:11:45-00:11:48 然後你直接這樣收
00:11:48-00:11:49 有的時候也能收到這個SKILL
00:11:49-00:11:51 你只要知道它的名字
00:11:51-00:11:52 你只要上Google
00:11:52-00:11:53 一般來說都能收到
00:11:53-00:11:54 如果收不到
00:11:54-00:11:56 因為有些名字不像這麼的直接
00:11:56-00:11:59 那它可能會有一些混橋的網頁
00:11:59-00:11:59 或者乾嘛
00:11:59-00:12:02 你在後面加多一個詞叫做Dipop
00:12:02-00:12:07 它就能去搜出來這個鏈接
00:12:11-00:12:12 然後你就能看到
00:12:12-00:12:14 就是直接進來
00:12:14-00:12:15 這個三秒
00:12:18-00:12:19 那當然也會有很多的
00:12:19-00:12:21 就是Dipop Creator的
00:12:21-00:12:22 就是類似說同名的東西
00:12:22-00:12:25 所以這個時候你就要去篩選
00:12:25-00:12:27 但很核心的一個搜索的方式
00:12:27-00:12:28 其實就這麼簡單
00:12:28-00:12:30 你知道了這個名字
00:12:30-00:12:32 你搜一個Gipop在後面加一個委嘴
00:12:32-00:12:34 它基本上就能在上面去收到
00:12:34-00:12:36 這樣的一個SKILL
00:12:36-00:12:38 那Gipop是一個甚麼網站呢
00:12:38-00:12:39 這個網站很厲害啊
00:12:39-00:12:43 我們說叫集人類智慧一致大乘的一個網站
00:12:43-00:12:46 上面有非常多前人做的代碼
00:12:46-00:12:47 以及一些知識庫的東西
00:12:47-00:12:48 全部在裡面
00:12:48-00:12:49 所以大家有可能
00:12:49-00:12:51 所以我們這個像我們
00:12:51-00:12:52 雖然我不是一個程序員
00:12:52-00:12:54 但我有的時候也會逛一逛他
00:12:54-00:12:57 因為就會看到大多數的人會去
00:12:57-00:12:59 線上面去做甚麼樣的一些新的內容
00:12:59-00:13:00 新的產品
00:13:00-00:13:01 新的程序
00:13:01-00:13:03 甚至像現在SKILL很流行的之後
00:13:03-00:13:05 我們就會去上面看
00:13:05-00:13:07 最近很流行的SKILL去測試一下
00:13:07-00:13:09 就會有這樣的一個情況
00:13:09-00:13:11 但這個技巧是一個非常好用的技巧
00:13:11-00:13:15 等於說你今天去刷到了一個小紅書的博主
00:13:15-00:13:18 他說他用一個SKILL解決了甚麼樣的問題
00:13:18-00:13:21 那他沒有告訴你這個SKILL在哪裡下載的時候
00:13:21-00:13:24 你就去看他這個SKILL叫甚麼名字就好了
00:13:24-00:13:27 然後把他的名字加HIP HOP去HIP HOP上面搜
00:13:27-00:13:29 你就能得到這個東西
00:13:29-00:13:34 然後如果你今天不知道在做一件事情的時候
00:13:34-00:13:36 有甚麼樣的SKILL好用
00:13:36-00:13:37 你覺得我解決嗎
00:13:37-00:13:40 就是你也不知道有哪個SKILL的好用
00:13:40-00:13:42 然後也不知道有甚麼名字的時候
00:13:42-00:13:43 那這個時候怎麼辦
00:13:43-00:13:45 你可以讓AZIAN幫你去找他
00:13:45-00:13:48 我們在AZIAN裡面有一個很好用的東西
00:13:48-00:13:49 就打開你的
00:13:51-00:13:53 打開你的這個WOBALID
00:13:53-00:14:00 然後在你們的這個專家技能連接器這個地方
00:14:00-00:14:02 我們現在安裝一個SKILL
00:14:02-00:14:03 技能
00:14:03-00:14:06 有看到嗎
00:14:06-00:14:06 技能
00:14:06-00:14:08 大家同步操作一下
00:14:08-00:14:11 這個地方就是一些小的操作的地方
00:14:11-00:14:15 然後在這裡面有個地方叫SKILL HUB
00:14:15-00:14:17 然後裡面搜一下SKILL HUB
00:14:17-00:14:19 然後裡面搜一下WOBALID
00:14:19-00:14:21 因為有些人可能電腦預先裝了
00:14:21-00:14:23 有些人電腦沒有預先裝
00:14:23-00:14:24 只有很多個
00:14:24-00:14:25 應該都差不了太多
00:14:25-00:14:28 然後去選擇排行前面的這個WOBALID
00:14:28-00:14:31 然後把它的加號點上
00:14:31-00:14:40 進來的時候
00:14:40-00:14:43 專家技能連接器這個裡面點技能
00:14:43-00:14:45 然後進入到SKILL HUB
00:14:45-00:14:47 然後上面點FINE
00:14:47-00:14:49 你就能出來FINE SKILL SKILL
00:14:49-00:14:53 然後把它加到你的本地
00:14:53-00:14:55 這一步做好你舉個手
00:14:55-00:14:59 網絡問題嗎
00:14:59-00:15:07 一個SKILL其實大小
00:15:07-00:15:10 基本上大多數的SKILL大小都不會特別大
00:15:10-00:15:12 它不像一個APP一樣
00:15:12-00:15:13 大多數的SKILL
00:15:13-00:15:17 它以前都是一個簡單的SKILL.MP加上一些內容
00:15:17-00:15:21 搞定到這一步的舉個手
00:15:21-00:15:26 對好多重名的你就選一個就好了
00:15:26-00:15:29 其實大差不差的那起來做
00:15:29-00:15:30 對
00:15:30-00:15:32 對
00:15:32-00:15:33 對
00:15:33-00:15:34 對
00:15:34-00:15:35 對
00:15:35-00:15:36 對
00:15:36-00:15:37 對
00:15:37-00:15:38 對
00:15:38-00:15:39 對
00:15:39-00:15:40 對
00:15:40-00:15:41 對
00:15:41-00:15:42 對
00:15:42-00:15:43 OK
00:15:43-00:15:44 OK
00:15:44-00:15:45 對
00:15:45-00:15:46 OK
00:15:46-00:15:47 好
00:15:47-00:15:48 現在已經蠻多人OK了
00:15:48-00:15:49 然後新建任務
00:15:49-00:15:52 大家知道怎麼把SKILL掉出來嗎
00:15:52-00:15:53 對
00:15:53-00:15:54 斜槓
00:15:54-00:15:55 斜槓
00:15:55-00:15:56 然後
00:15:56-00:15:59 找到剛才你已經下載下來的這個FINE SKILL
00:15:59-00:16:01 好
00:16:01-00:16:02 然後
00:16:02-00:16:03 你可以告訴他一件事情
00:16:03-00:16:04 如果
00:16:04-00:16:05 類似於說
00:16:05-00:16:07 幫我找一個去AI位的SKILL
00:16:07-00:16:08 你如果有自己的工作
00:16:08-00:16:09 你就做自己的工作就好了
00:16:09-00:16:10 類似於說
00:16:10-00:16:20 你幫你找一個寫文章的幫你找一個做做營銷的幫你找一個甚麼樣的都OK
00:16:20-00:16:22 然後點一下Enter就OK了
00:16:22-00:16:26 那你就會看到一件事情通過FINE SKILL
00:16:26-00:16:28 它就會幫你出來一些東西
00:16:28-00:16:29 類似於說
00:16:29-00:16:31 我這裡已經有一個好好的給大家看一下結果
00:16:31-00:16:33 你們可以一邊操作
00:16:33-00:16:36 操作玩的在等的過程中可以看一看我這個結果
00:16:36-00:16:39 那它就會告訴你找到不少好東西
00:16:39-00:16:41 幫你整理了最新的自媒體
00:16:41-00:16:44 因為我當時給他的是幫我找一些自媒體運營的SKILL
00:16:44-00:16:46 他就會幫你把這個東西搞下來
00:16:46-00:16:52 那在這個裡面有一些點你會看到下載量跟星數
00:16:57-00:16:59 那在這個裡面我們一般來說會做一件事情
00:16:59-00:17:02 就是會去看它的下載量以及STAR數
00:17:02-00:17:04 那在這個地方沒有給我STAR數
00:17:04-00:17:06 因為我們說GIPPOP上面最重要的一個指標
00:17:06-00:17:08 其實是STAR這個指標
00:17:08-00:17:11 也就是多少人收藏了你這個倉庫
00:17:11-00:17:14 那收藏就代表了一件事情叫做任可
00:17:14-00:17:17 也就是很多的人覺得你這個東西好用
00:17:17-00:17:18 所以認可了你
00:17:18-00:17:21 那我們有的時候就會去看它的下載數以及STAR數
00:17:21-00:17:24 然後基於這個東西讓它去給我排行
00:17:24-00:17:28 類似說把排在上面的東西去給我
00:17:28-00:17:33 就是我們所說的我們去嘗試看哪一個更好用
00:17:33-00:17:36 所以這件事情核心是在於甚麼
00:17:36-00:17:38 當你不知道有甚麼樣的SKILL
00:17:38-00:17:40 可以解決你想要解決的這個問題的時候
00:17:40-00:17:43 你可以通過加載我們剛才所說的
00:17:43-00:17:48 FiveSKILL這個SKILL去進行搜索
00:17:48-00:17:52 你看它這個地方就已經開始把我搜了一圈了
00:17:52-00:17:53 為甚麼它知道我的
00:17:54-00:17:56 對它把我名字打下去
00:17:56-00:17:57 我也不知道為甚麼
00:17:57-00:17:58 因為我覺得
00:17:58-00:18:00 WinBody的Hoties就有的時候很奇怪
00:18:00-00:18:02 就是我明明沒有搞記憶
00:18:02-00:18:04 它就記住我的東西了
00:18:04-00:18:06 那它就開始那些說
00:18:06-00:18:08 HumanLizers
00:18:08-00:18:09 Human Financial各種
00:18:09-00:18:12 然後我那你會發現缺少了甚麼
00:18:12-00:18:14 我剛才說的排行
00:18:14-00:18:17 那我會告訴他這個數量不夠
00:18:17-00:18:21 然後同時請你按那個大樹幫我做排行
00:18:24-00:18:26 大樹出來了
00:18:26-00:18:35 然後它就會再去搜索一圈
00:18:35-00:18:48 那你會看到
00:18:48-00:18:50 接下來它就給了我10個
00:18:50-00:18:53 然後每一個後面應該都會有SKILL這個事情
00:18:53-00:18:55 然後大家看到這裡有看到一個東西嗎
00:18:55-00:18:56 叫你消耗了多少
00:18:57-00:18:59 其實就是消耗了你的積分
00:19:02-00:19:06 然後你會發現它會告訴你去AI的技能完整排行
00:19:06-00:19:07 有哪些
00:19:07-00:19:10 然後有HumanLizers這個有安裝的人
00:19:10-00:19:12 有SKILL有1081
00:19:12-00:19:14 然後這個有596
