00:00:00-00:00:02 那我今天就從開發的角度啊
00:01:37-00:01:39 所以我就找外面的人開發
00:01:39-00:01:42 然後他找他們開發的最少給三五萬
00:01:42-00:01:42 然後呢
00:01:42-00:01:44 每個月我已經有設計師
00:01:44-00:01:45 有客服
00:01:45-00:01:47 有各種員工在公司裡面
00:01:47-00:01:49 一個月花五萬塊錢吧
00:01:49-00:01:50 然後等他開發
00:01:50-00:01:51 我要不要對需求
00:01:51-00:01:53 又要每個月再給他三五萬塊錢
00:01:53-00:01:55 這公司還沒開始運行
00:01:55-00:01:57 我已經花了二三十萬了
00:01:57-00:01:58 對吧
00:01:58-00:01:59 一毛錢還沒這麼
00:01:59-00:02:00 你說招得到生嗎
00:02:00-00:02:01 也不知道啊
00:02:01-00:02:01 對吧
00:02:01-00:02:03 你只是有這個idea而已
00:02:03-00:02:05 已經花了十幾二十萬了
00:02:05-00:02:06 所以現在呢
00:02:06-00:02:07 不一樣了
00:02:07-00:02:08 有AI出來了
00:02:08-00:02:09 改變非常大
00:02:09-00:02:10 你有甚麼想法
00:02:10-00:02:12 你可以快速的做個工作台
00:02:12-00:02:13 做個系統
00:02:13-00:02:14 做個閉環
00:02:14-00:02:15 來驗證一下
00:02:15-00:02:16 到底他是不是真的有需求
00:02:16-00:02:17 然後第二次創業呢
00:02:17-00:02:19 為甚麼第一家公司倒閉了
00:02:19-00:02:21 因為台灣自由行結束了啊
00:02:21-00:02:22 就
00:02:22-00:02:23 就一二年到一五年啊
00:02:23-00:02:24 選舉一改
00:02:24-00:02:25 沒有自由行啊
00:02:25-00:02:27 所以第一家公司就倒閉了
00:02:27-00:02:27 然後呢
00:02:27-00:02:28 我就在想
00:02:28-00:02:28 哎
00:02:28-00:02:29 我很喜歡做投資啊
00:02:29-00:02:30 這方面的工作啊
00:02:30-00:02:31 然後就覺得
00:02:31-00:02:32 哇
00:02:32-00:02:33 如果投資每天都要盯盤
00:02:33-00:02:34 看
00:02:34-00:02:35 靠意自利
00:02:35-00:02:36 甚麼自律
00:02:36-00:02:38 啊甚麼最重要的是自律啊
00:02:38-00:02:39 資金管理
00:02:39-00:02:41 我說這些是計算機最擅長的事情嗎
00:02:41-00:02:42 對吧
00:02:42-00:02:43 那我就去學代碼
00:02:43-00:02:44 就是為了偷懶而已
00:02:44-00:02:45 我就說
00:02:45-00:02:46 哎
00:02:46-00:02:47 代碼本來就能做了
00:02:47-00:02:48 有人自動化
00:02:48-00:02:50 為甚麼還要靠意自利去學習去做呢
00:02:50-00:02:51 然後來呢
00:02:51-00:02:52 發現
00:02:52-00:02:52 哎
00:02:52-00:02:54 開了一個量化公司
00:02:54-00:02:55 跟別合伙了
00:02:55-00:02:56 最值錢的東西呢
00:02:56-00:02:58 就是我們花了大量的
00:02:58-00:03:00 無論是找投資人進來投資
00:03:00-00:03:01 到底投資甚麼呢
00:03:01-00:03:03 就請高端的程序員過來
00:03:03-00:03:05 開發這個量化交易系統
00:03:05-00:03:07 怎麼樣從數據到
00:03:07-00:03:08 有時候
00:03:08-00:03:09 比如說剛剛的朋友問的
00:03:09-00:03:11 怎麼讓它7乘以24小時運行啊
00:03:11-00:03:13 你怎麼不屬於服務
00:03:13-00:03:14 怎麼拿數據
00:03:14-00:03:16 怎麼通過你的算法做決策
00:03:16-00:03:17 最後令到它
00:03:17-00:03:20 令這個系統是安全穩定
00:03:20-00:03:21 可迭代的
00:03:21-00:03:22 發展的一個系統
00:03:22-00:03:24 最後最少投了1000萬
00:03:24-00:03:26 才做好了這樣的一個系統而已
00:03:26-00:03:27 所以我們說
00:03:27-00:03:29 AI真正出來啊
00:03:29-00:03:31 就是讓每個人都能有一個
00:03:31-00:03:33 滿足你個性化需求的系統
00:03:33-00:03:35 那具體怎麼來做呢
00:03:35-00:03:37 今天是我分享的內容了
00:03:41-00:03:42 所以我們說
00:03:42-00:03:43 真的是
00:03:43-00:03:44 那個查理盲格說的啊
00:03:44-00:03:46 真正的成功呢
00:03:46-00:03:47 是你要做出一個系統
00:03:47-00:03:49 它可以讓你的失敗
00:03:49-00:03:50 不斷的修正
00:03:50-00:03:52 讓你的失敗越來越難的一個系統
00:03:52-00:03:53 而不是天天說
00:03:53-00:03:54 我要靠自律
00:03:54-00:03:56 我要靠改變自己甚麼的
00:03:56-00:03:58 不要太相信自己的意志力啊
00:03:58-00:03:59 OK
00:03:59-00:04:00 就是要做一個系統
00:04:00-00:04:02 來協助你更高效
00:04:02-00:04:03 更快速的
00:04:03-00:04:05 然後正反饋的一個工作
00:04:05-00:04:05 對吧
00:04:05-00:04:07 就像紅總的工作台
00:04:07-00:04:08 我省去了很多工作
00:04:08-00:04:10 每天打開就看到熱點
00:04:10-00:04:11 打開就知道我
00:04:11-00:04:12 今天可以寫甚麼了
00:04:12-00:04:14 打開就能看到數據反饋
00:04:14-00:04:16 最後我就能做決策了
00:04:16-00:04:18 因為最後真正的財富
00:04:18-00:04:21 不是創造一個有價值的產品
00:04:21-00:04:22 而是要創造一個人
00:04:22-00:04:25 持續生產有價值的東西的系統啊
00:04:25-00:04:26 OK
00:04:30-00:04:31 好
00:04:31-00:04:32 所以你能看到我們自己啊
00:04:32-00:04:35 身邊越優秀的同學啊
00:04:35-00:04:36 越被裁員了
00:04:36-00:04:38 現在好幾個朋友最近
00:04:38-00:04:40 就在一兩個月的事情
00:04:40-00:04:41 電話非常快了
00:04:41-00:04:42 越是乾到忠誠的
00:04:42-00:04:43 寫代碼的
00:04:43-00:04:44 管理層的
00:04:44-00:04:46 因為為甚麼被裁員啊
00:04:46-00:04:47 AI太厲害了
00:04:47-00:04:48 這是一個點
00:04:48-00:04:50 第二點是他們實在太貴了
00:04:50-00:04:50 對吧
00:04:50-00:04:52 好幾個朋友啊
00:04:52-00:04:53 被外派到新加坡了
00:04:53-00:04:55 或者是在頂端的
00:04:55-00:04:56 私募通知工作了
00:04:56-00:04:58 這兩三個月來找我聊天的
00:04:58-00:04:59 都是被裁員的
00:04:59-00:05:02 甚至是下個月有了找我聊創業的
00:05:02-00:05:05 都是在抖音商裡面被裁員的朋友啊
00:05:05-00:05:06 找龍哥吃吃飯
00:05:06-00:05:08 看看有甚麼創業idea
00:05:08-00:05:10 畢竟拿到了畢業獎金對吧
00:05:10-00:05:13 那為甚麼會越來越來越多人被裁員呢
00:05:13-00:05:15 你可以看到一個很大的變化啊
00:05:15-00:05:17 就是程序員以前呢
00:05:17-00:05:19 是很累很多工作量的
00:05:19-00:05:21 我先我開拍一個東西
00:05:21-00:05:23 我先要看API的文檔
00:05:23-00:05:24 不懂了文檔
00:05:24-00:05:25 我要寫代碼
00:05:25-00:05:26 我要測試
00:05:26-00:05:28 然後我還要找到問題
00:05:28-00:05:31 然後修改成我需要的需求的系統
00:05:31-00:05:32 然後最後呢
00:05:32-00:05:34 慢慢修bug寫文檔各種
00:05:34-00:05:35 現在呢
00:05:35-00:05:37 現在的我們的工作啊
00:05:37-00:05:38 只有三件事情
00:05:38-00:05:41 你跟AI講清楚需求
00:05:41-00:05:42 對吧
00:05:42-00:05:42 這第一個
00:05:42-00:05:43 第二個是甚麼呢
00:05:43-00:05:46 你選好控制器
00:05:46-00:05:47 讓它能夠工作
00:05:47-00:05:49 第三個甚麼呢
00:05:49-00:05:51 你做好驗收的標準
00:05:51-00:05:53 我們只需要做三件事
00:05:53-00:05:53 很多人說
00:05:53-00:05:55 哇學AI到底學甚麼呀
00:05:55-00:05:56 你不是在學AI
00:05:56-00:05:57 你要搞清楚
00:05:57-00:05:59 AI是人家Deepseek的那些團隊
00:05:59-00:06:00 來研究的AI
00:06:00-00:06:03 你只是在補足AI的不足
00:06:03-00:06:05 完成你的需求
00:06:05-00:06:06 對吧
00:06:06-00:06:07 到底AI不能做甚麼
00:06:07-00:06:09 才是你們要學了
00:06:09-00:06:10 AI不能做甚麼
00:06:10-00:06:11 它缺了甚麼東西
00:06:11-00:06:14 我們要補足它來完成我的目標
00:06:14-00:06:15 這個才是你們要
00:06:15-00:06:16 你們不要以為自己在學AI
00:06:16-00:06:17 你只是在
00:06:17-00:06:19 用AI
00:06:19-00:06:19 OK
00:06:19-00:06:23 好
00:06:23-00:06:23 所以呢
00:06:23-00:06:25 這半年對我改變非常大了
00:06:25-00:06:27 畢爾蓋遲了發出了一個感嘆
00:06:27-00:06:28 是甚麼東西
00:06:28-00:06:30 求求AI不要發展那麼快了
00:06:30-00:06:32 真的快到離譜
00:06:32-00:06:34 直接就是指數級的增長
00:06:34-00:06:35 三個月前
00:06:35-00:06:36 我還在用小龍蝦的時候
00:06:36-00:06:37 我已經被驚呆了
00:06:37-00:06:38 對吧
00:06:38-00:06:39 從只能回答到
00:06:39-00:06:40 我回去睡覺了
00:06:40-00:06:43 他都在幫我改bug跟寫系統
00:06:43-00:06:45 然後回答了第二天早上一看
00:06:45-00:06:47 沒問題能用我
00:06:47-00:06:48 而且測試我
00:06:48-00:06:49 搞定了
00:06:49-00:06:50 我的需求被滿足了
00:06:50-00:06:50 對吧
00:06:50-00:06:52 結果還不到一兩個月
00:06:52-00:06:55 直接小龍蝦那個開發者
00:06:55-00:06:58 被GPT OpenAI給挖過去了
00:06:58-00:06:59 然後呢
00:06:59-00:07:01 OpenAI就出入了Codex了
00:07:01-00:07:02 然後呢
00:07:02-00:07:04 沒兩下騰訊最厲害的是甚麼
00:07:04-00:07:06 你有我也要有
00:07:06-00:07:08 你不管我怎麼有的
00:07:08-00:07:09 反正我也有
00:07:09-00:07:10 然後就八點就出來了
00:07:10-00:07:11 OK
00:07:11-00:07:12 所以這幾個月
00:07:12-00:07:14 其實對我的工作方式
00:07:14-00:07:16 跟工作的模式
00:07:16-00:07:17 跟我不斷思考的東西
00:07:17-00:07:18 有極大的變化
00:07:18-00:07:20 你們可以看到這個PVT這麼漂亮
00:07:20-00:07:20 對吧
00:07:20-00:07:23 其實我都沒有打開過
00:07:23-00:07:24 PVT這個軟件
00:07:24-00:07:25 就做出來了
00:07:25-00:07:25 OK
00:07:25-00:07:26 好
00:07:26-00:07:28 那第一個改變是甚麼呢
00:07:28-00:07:29 就我已有的工作
00:07:29-00:07:30 它可以是一個放大器
00:07:30-00:07:32 AI到底是甚麼東西
00:07:32-00:07:34 它第一個是我們的放大器
00:07:34-00:07:36 我過去做了十年的量化研究
00:07:36-00:07:37 對吧
00:07:37-00:07:38 那中間會有甚麼
00:07:38-00:07:39 會有一些細節
00:07:39-00:07:41 可能我做得不夠好的
00:07:41-00:07:42 不夠完整的
00:07:42-00:07:44 然後還有很多新的橫向的
00:07:44-00:07:46 比如說美股市場啊
00:07:46-00:07:48 別的市場我可能沒做過
00:07:48-00:07:49 對吧
00:07:49-00:07:50 那它橫向的也可以快速的
00:07:50-00:07:53 寫大量的代碼來幫我做測試
00:07:53-00:07:54 找通用性啊
00:07:54-00:07:56 解決過度擬合的問題啊
00:07:56-00:07:57 等等等等
00:07:57-00:07:59 它能夠加快你的效率
00:07:59-00:08:00 最少十倍以上
00:08:00-00:08:00 這是第一個
00:08:00-00:08:02 不要再來問老師說
00:08:02-00:08:04 AI你能不能變現啊
00:08:04-00:08:05 這些問題是很低級的
00:08:05-00:08:06 知道嗎
00:08:06-00:08:07 因為第一個事情
00:08:07-00:08:09 它已經把你的效率提升了十倍
00:08:09-00:08:12 特別是你已經乾過十年的工作
00:08:12-00:08:12 OK
00:08:12-00:08:13 第二個呢
00:08:13-00:08:15 是你A到B點的效率
00:08:15-00:08:16 時間直接縮短
00:08:16-00:08:19 你們可以看到啊
00:08:19-00:08:20 為甚麼美股市場
00:08:20-00:08:22 現在漲的股票都是哪些啊
00:08:22-00:08:22 對吧
00:08:22-00:08:24 一開始是英偉達啊
00:08:24-00:08:25 超微啊
00:08:25-00:08:26 為甚麼會漲啊
00:08:26-00:08:27 因為它提供了算力
00:08:27-00:08:29 算力解決了模型
00:08:29-00:08:31 模型幫助大部分的人
00:08:31-00:08:33 提升了他們的效率
00:08:33-00:08:34 A到B點
00:08:34-00:08:35 本來要十天
00:08:35-00:08:36 現在變成了一天
00:08:36-00:08:37 對吧
00:08:37-00:08:39 只要是能夠在裡面工作的
00:08:39-00:08:40 它就能夠
00:08:40-00:08:41 有
00:08:41-00:08:42 大家就願意付錢
00:08:42-00:08:44 是不是這個問題
00:08:44-00:08:46 你願意付那個token費嗎
00:08:46-00:08:47 你是願意的
00:08:47-00:08:48 因為你從A到B點
00:08:48-00:08:50 時間直接縮短了很多倍
00:08:50-00:08:51 你感受到了
00:08:51-00:08:52 你一段
00:08:52-00:08:53 現在很多朋友啊
00:08:53-00:08:55 充了co-dex了
00:08:55-00:08:56 第二個月
00:08:56-00:08:57 突然沒token了
00:08:57-00:08:58 很焦慮
00:08:58-00:09:00 你吸毒很辛苦
00:09:00-00:09:01 就被螞蟻咬一樣
00:09:01-00:09:03 因為我A到B突然變得很遠了
00:09:03-00:09:04 對吧
00:09:04-00:09:05 所以A到B點
00:09:05-00:09:06 這個還是生意
00:09:06-00:09:08 像培訓也是一種生意
00:09:08-00:09:09 為甚麼
00:09:09-00:09:10 我幫你從A到B點
00:09:10-00:09:12 先從零開始了
00:09:12-00:09:13 你起碼知道有這個東西了
00:09:13-00:09:15 去走這個A到B了
00:09:15-00:09:17 那B點最終啊
00:09:17-00:09:18 現在為甚麼存儲
00:09:18-00:09:19 長得這麼牛逼
00:09:19-00:09:21 昨天那個林老闆
00:09:21-00:09:22 我打開他的電腦
00:09:22-00:09:23 他叫我幫他裝co-dex
00:09:23-00:09:25 結果他的C盤和D盤
00:09:25-00:09:26 是滿的
00:09:26-00:09:27 對吧
00:09:27-00:09:28 因為為甚麼呢
00:09:28-00:09:29 你要把
00:09:29-00:09:30 後面我會講
00:09:30-00:09:32 我會詳細講這個東西
00:09:32-00:09:34 就是現在AI不斷的生成文件
00:09:34-00:09:35 甚麼腳本
00:09:35-00:09:36 很多人寫代碼
00:09:36-00:09:37 生出來
00:09:37-00:09:38 我都不知道沒看過
00:09:38-00:09:39 都看不懂
00:09:39-00:09:39 對吧
00:09:39-00:09:40 但是你的盤
00:09:40-00:09:42 馬上就變成了
00:09:42-00:09:42 不夠用了
00:09:42-00:09:44 所以這個就是為甚麼存儲這麼厲害
00:09:44-00:09:45 好
00:09:45-00:09:47 那第三個點呢
00:09:47-00:09:48 如果A到B點
00:09:48-00:09:49 縮短了那麼多
00:09:49-00:09:50 那未來的
00:09:50-00:09:51 很多人被裁員
00:09:51-00:09:52 甚麼意思呢
00:09:52-00:09:53 像我朋友
00:09:53-00:09:54 這是來當助教
00:09:54-00:09:56 他在微重銀行工作的
00:09:56-00:09:56 對吧
00:09:56-00:09:58 他說
00:09:58-00:10:00 我身邊被裁了四五個同事
00:10:00-00:10:01 結果老闆
00:10:01-00:10:02 叫我一個人用coco
00:10:02-00:10:04 一個人乾四個人的活
00:10:04-00:10:05 對吧
00:10:05-00:10:06 我可能是
00:10:06-00:10:07 比以前還累
00:10:07-00:10:08 我以為我有AI
00:10:08-00:10:10 我是可以找下班的那一個
00:10:10-00:10:12 結果發現隔壁同事不見了
00:10:12-00:10:14 我在乾四個人的活
00:10:14-00:10:14 OK
00:10:14-00:10:15 但是呢
00:10:15-00:10:16 我要跟大家講
00:10:16-00:10:18 就是現在的一個設計師
00:10:18-00:10:19 假設
00:10:19-00:10:20 你是有了AI
00:10:20-00:10:21 你是可以直接是
00:10:21-00:10:22 做PTT
00:10:22-00:10:23 做視頻
00:10:23-00:10:23 做網站
00:10:23-00:10:24 甚麼都可以做
00:10:24-00:10:25 做你的工作台
00:10:25-00:10:26 對吧
00:10:26-00:10:27 所以你可以變成了
00:10:27-00:10:29 乘以N的A到B
00:10:29-00:10:31 這個就是AI時代需要的能力
00:10:31-00:10:33 你能不能跨界的
00:10:33-00:10:38 擁有別人平時工作的那種能力啊
00:10:38-00:10:41 就像我我壓根也不會寫網站也不會寫後台
00:10:41-00:10:45 這次課程的所有的東西都是我用AI搞定的
00:10:45-00:10:47 所以說台上三小時啊
00:10:47-00:10:49 台下我加班了三十個小時
00:10:49-00:10:49 但是呢
00:10:49-00:10:50 Poken呢
00:10:50-00:10:52 我超了差不多300個小時
00:10:52-00:10:53 OK
00:10:53-00:10:55 所以你要感受到這個AI的不一樣
00:10:55-00:10:56 一個人
00:10:56-00:10:57 以後老闆交代任務給你
00:10:57-00:10:58 你不要說
00:10:58-00:10:59 我沒時間
00:10:59-00:11:00 我不會做
00:11:00-00:11:01 對吧
00:11:01-00:11:02 不會有這樣的問題了
00:11:02-00:11:03 因為
00:11:03-00:11:05 那問題是甚麼
00:11:05-00:11:07 就是你用AI不夠厲害
00:11:08-00:11:14 所以我們說了
00:11:14-00:11:15 AI我經常在想啊
00:11:15-00:11:17 到底它對商業模式有甚麼變化呢
00:11:17-00:11:19 大家可能現在沒甚麼體感
00:11:19-00:11:20 但是很快了
00:11:20-00:11:22 馬上一到兩年後
00:11:22-00:11:23 就會有很大的變化
00:11:23-00:11:25 可能你們慢慢的會感覺到
00:11:25-00:11:26 第一個
00:11:26-00:11:28 我要在孫宇晨裡面要說
00:11:28-00:11:29 最近很火的一個人
00:11:29-00:11:30 他講過一句話
00:11:30-00:11:33 我很佩服這個人的判斷力啊
00:11:33-00:11:35 但他人品無感說是不太行的
00:11:35-00:11:36 只是說
00:11:36-00:11:37 他很早就說了
00:11:37-00:11:39 能跟AI聊的工作
00:11:39-00:11:40 不要跟人聊
00:11:40-00:11:41 對吧
00:11:41-00:11:42 我就是一個這麼懶的人
00:11:42-00:11:43 你跟我說
00:11:43-00:11:44 我要跟別人聊工作
00:11:44-00:11:45 聊細節
00:11:45-00:11:46 我會很生氣
00:11:46-00:11:47 所以有時候
00:11:47-00:11:48 我跟別人聊工作
00:11:48-00:11:50 我就是脾氣不太好了
00:11:50-00:11:50 因為第一
00:11:50-00:11:52 你都沒聽懂我要甚麼
00:11:52-00:11:52 對吧
00:11:52-00:11:54 第二你回答的到底是甚麼呀
00:11:54-00:11:55 我的天啊
00:11:55-00:11:55 對吧
00:11:55-00:11:57 第三你做出來的又是甚麼
00:11:57-00:11:58 所以呢
00:11:58-00:11:58 未來呢
00:11:58-00:12:00 能跟AI聊的執行
00:12:00-00:12:01 不要跟人聊
00:12:01-00:12:02 那跟人聊了
00:12:02-00:12:04 大部分就是怎麼樣去
00:12:04-00:12:06 資源
00:12:06-00:12:12 OK
00:12:12-00:12:13 好
00:12:13-00:12:15 突然
00:12:15-00:12:16 冷靜了下來
00:12:16-00:12:17 好
00:12:17-00:12:18 就是
00:12:18-00:12:20 能跟別人多聊的
00:12:20-00:12:21 就是資源的整合
00:12:21-00:12:23 怎麼樣市場的配合
00:12:23-00:12:23 對吧
00:12:23-00:12:24 你有甚麼資源
00:12:24-00:12:25 我有甚麼資源
00:12:25-00:12:26 怎麼能讓那個
00:12:26-00:12:27 並行的項目更多
00:12:27-00:12:28 對吧
00:12:28-00:12:30 我們能創造更多的價值
00:12:30-00:12:31 而不是說這個執行的細節
00:12:31-00:12:32 要怎麼做好啊
00:12:32-00:12:36 你不要以為你想的東西跟你做的東西
00:12:36-00:12:37 能比AI好
00:12:37-00:12:38 一開始我也是這麼想的
00:12:38-00:12:40 後來我發現
00:12:40-00:12:42 PPT他做的比我好一百倍
00:12:42-00:12:44 網站比我厲害太多了
00:12:44-00:12:46 所以你們要先放下自己的那種
00:12:46-00:12:48 但是你如果有實內經驗的
00:12:48-00:12:50 說不定你都不用下載
00:12:50-00:12:52 你才是最厲害的那個東西呀
00:12:52-00:12:53 好
00:12:53-00:12:54 所以第二個呢
00:12:54-00:12:56 我們說的數字資產到底是甚麼
00:12:56-00:12:58 其實AI現在甚麼都能做了
00:12:58-00:12:59 但是問題就是
00:12:59-00:13:01 你要有自己的
00:13:01-00:13:02 屬於自己的體系的
00:13:02-00:13:03 包括公司需要
00:13:03-00:13:05 那為甚麼需要這些啊
00:13:05-00:13:06 因為你要發連愛更懂你
00:13:06-00:13:08 你要發一個任務給他
00:13:08-00:13:10 他能夠交出你真的想要的東西
00:13:10-00:13:11 那他缺了甚麼
00:13:11-00:13:13 缺了就是知識庫
00:13:13-00:13:14 數據庫
00:13:14-00:13:15 代碼庫
00:13:15-00:13:16 甚至我說做視頻的
00:13:16-00:13:18 你有沒有你的風格的素材庫
00:13:18-00:13:20 做過成功的一些廣告的庫
00:13:20-00:13:22 能夠沈澱下來讓系統
00:13:22-00:13:23 反復調用
00:13:23-00:13:24 反復迭代
00:13:24-00:13:25 反復升級
00:13:25-00:13:26 有沒有這樣的東西
00:13:26-00:13:29 然後最後你的系統就是可以通過
00:13:29-00:13:31 AI能夠越來越懂你了以後啊
00:13:31-00:13:36 你可以創造一個不斷可以升級自學習的
00:13:36-00:13:37 為甚麼人家
00:13:37-00:13:39 Cloud Code跟
00:13:39-00:13:40 跟OpenAI都說
00:13:40-00:13:44 好像我現在的程序開發都沒有用冷血了
00:13:44-00:13:45 都是AI自動
00:13:45-00:13:48 那個增長速度是非常可怕的
00:13:48-00:13:51 人家OpenAI都說可能
00:13:51-00:13:53 不知道明年年底和近年年底
00:13:53-00:13:54 就要實現AGI了
00:13:54-00:13:57 AGI說連AI有自我意識了
00:13:57-00:13:58 有可能是這樣子的啊
00:13:58-00:14:00 但目前還在討論在那邊
00:14:00-00:14:03 就只要撇除了人這個關卡
00:14:03-00:14:07 所以我們經常說系統升級到底升級甚麼
00:14:07-00:14:11 你就要看到整個系統裡面最浪費時間
00:14:11-00:14:11 對吧
00:14:11-00:14:16 最沒有效率和效益的那一塊要被它被優化掉
00:14:16-00:14:17 然後你就會發現
00:14:17-00:14:19 人就是那一塊最沒有效益的
00:14:19-00:14:20 沒有效益的環節
00:14:20-00:14:23 如果你那AI的代碼你還要去審查
00:14:23-00:14:25 還要去各種測試
00:14:25-00:14:28 那你其實也沒提高效率多少
00:14:28-00:14:30 這個是吳文達說的
00:14:30-00:14:34 那
00:14:34-00:14:36 所以呢
00:14:36-00:14:38 我們可以看到啊
00:14:38-00:14:40 這個都不是甚麼幾年前
00:14:40-00:14:41 幾個月前
00:14:41-00:14:42 這些東西呢
00:14:42-00:14:44 就跟考古一樣的啊
00:14:44-00:14:44 哦
00:14:44-00:14:46 沒錯了
00:14:46-00:14:47 Town很重要
00:14:47-00:14:48 但是現在呢
00:14:48-00:14:49 更重要的是甚麼
00:14:49-00:14:50 就是
00:14:50-00:14:53 這就是一個月一個月的事情啊
00:14:53-00:14:55 過去我要學Punk
00:14:55-00:14:56 再來我要學AI工具
00:14:56-00:14:58 再來我要設計我的員工
00:14:58-00:14:59 Agent 怎麼去運作
00:14:59-00:15:01 怎麼閉環一個工作人員
00:15:01-00:15:02 那現在呢
00:15:02-00:15:03 我們要想的是
00:15:03-00:15:06 怎麼帶一個真正的數字員工
00:15:06-00:15:09 他可以長期穩定的完成一些論諾啊
00:15:09-00:15:17 所以關鍵的是甚麼呢
00:15:17-00:15:19 就跟那邊科達的老師姐講的很清楚
00:15:19-00:15:20 很相似的
00:15:20-00:15:21 關鍵就是
00:15:21-00:15:23 撇除這些啊
00:15:23-00:15:24 先要有你自己的一個庫
00:15:24-00:15:26 無論是文章的知識庫
00:15:26-00:15:27 還是數據庫
00:15:27-00:15:28 還是代碼庫
00:15:28-00:15:29 還是素材庫
00:15:29-00:15:30 這些你要有
00:15:30-00:15:31 再來呢就是
00:15:31-00:15:32 用上最好的模型
00:15:32-00:15:34 再用上控制器
00:15:34-00:15:35 Harness
00:15:35-00:15:38 就是我今天會講的重點之重的一個內容
00:15:38-00:15:40 到底甚麼是Harness
00:15:40-00:15:41 怎麼構建Harness
00:15:41-00:15:43 怎麼能Harness來替你工作
00:15:43-00:15:46 最後你就會有一個真正的數字員工
00:15:46-00:15:47 等你數字員工一多了
00:15:47-00:15:49 你就是搭建了一個
00:15:49-00:15:51 所謂的系統啊
00:15:51-00:15:52 好
00:15:52-00:16:01 那為甚麼要來今天下課啊
00:16:01-00:16:05 好 其實呢有幾個點燃
00:16:05-00:16:07 第一個是很多朋友啊
00:16:07-00:16:09 他們可能平時上班也很忙
00:16:09-00:16:11 沒有時間跟沈浸式用AI啊
00:16:11-00:16:12 這第一個
00:16:12-00:16:14 第二個呢是能夠獲得一些啓發
00:16:14-00:16:15 對吧
00:16:15-00:16:16 看到老師哦
00:16:16-00:16:17 他可以開發這個
00:16:17-00:16:19 開發那個對他工作都有幫助
00:16:19-00:16:20 能夠得到一些啓發
00:16:20-00:16:23 然後再來我們能夠真正的手把手
00:16:23-00:16:25 無論是幫你們解決安裝問題
00:16:25-00:16:28 還是一些不同的技術問題
00:16:28-00:16:30 讓你們快速高效的能夠
00:16:30-00:16:33 打通這個直接摸到對吧
00:16:33-00:16:36 摸到最強模型的一個門檻
00:16:41-00:16:43 這次呢我除了這些視頻
00:16:43-00:16:44 是找我同事做的啊
00:16:44-00:16:45 陳子健啊
00:16:45-00:16:46 他專門做視頻的
00:16:46-00:16:47 我說
00:16:47-00:16:48 那你能不能幫我做幾個視頻
00:16:48-00:16:49 給我看一看啊
00:16:49-00:16:50 OK
