00:00:00-00:00:04 以及agent在Lobardy上面應該怎麼去使用
00:07:08-00:07:10 不同的行業有不同的模板
00:07:10-00:07:11 不同的行業有不同的
00:07:11-00:07:13 比較好的提示方式
00:07:13-00:07:15 這樣的一個發展歷程
00:07:15-00:07:16 它有點像甚麼呢
00:07:16-00:07:18 也有點像語言的發展的歷程
00:07:18-00:07:21 所以我們說跟AI的溝通
00:07:21-00:07:23 又好像就是一種新的語言的誕生
00:07:23-00:07:24 就像我們的漢語
00:07:24-00:07:27 就像我們的其他的這種語言
00:07:27-00:07:28 編程語言等等
00:07:29-00:07:31 那我們昨天也講了這張圖
00:07:31-00:07:32 這張圖大家記不記得
00:07:32-00:07:33 就是我們說好提示詞
00:07:33-00:07:35 它到底是怎麼來的
00:07:35-00:07:36 它結果是寫出來的
00:07:36-00:07:37 它是跑出來的
00:07:37-00:07:38 第一件事情是
00:07:38-00:07:41 你要先想清楚一件問題
00:07:41-00:07:43 叫做你到底要解決
00:07:43-00:07:45 甚麼樣的任務
00:07:45-00:07:46 你今天要解決的可能是
00:07:46-00:07:48 你想要給自己的工作
00:07:48-00:07:49 去解決
00:07:49-00:07:50 類似說自動化的問題
00:07:50-00:07:52 你想要去給
00:07:52-00:07:54 你樓下保安寫一個小程序
00:07:54-00:07:55 我們有一些
00:07:55-00:07:57 有很有趣的朋友
00:07:57-00:07:58 他們會覺得樓下
00:07:58-00:07:59 那個保安的台班
00:07:59-00:08:00 台的不是很科學
00:08:00-00:08:02 然後去用提示詞
00:08:02-00:08:02 就給他們寫了一些
00:08:02-00:08:04 台班的小程序
00:08:04-00:08:05 你要先理解清楚
00:08:05-00:08:07 自己今天要解決的問題是甚麼
00:08:07-00:08:10 其中可能會涉及到一些要素
00:08:10-00:08:11 類似說目標對象
00:08:11-00:08:13 輸入輸出標準的邊界
00:08:13-00:08:16 這個是我們能解決一個問題的前提
00:08:16-00:08:19 那從想清楚的時候
00:08:19-00:08:20 第二步其實就是
00:08:20-00:08:21 跟AI去溝通
00:08:21-00:08:23 那AI會去幫你補足
00:08:23-00:08:24 因為它比較廣
00:08:24-00:08:25 它的姿勢層面很多
00:08:25-00:08:26 所以它能補足
00:08:26-00:08:28 你沒有想到的部分
00:08:28-00:08:28 它可能會
00:08:28-00:08:31 以及我們在用Azure的過程中
00:08:31-00:08:32 其實有一些skills
00:08:32-00:08:33 是能幫我們
00:08:33-00:08:34 不停地追問我們的
00:08:34-00:08:36 不停地基於我們提出的問題
00:08:36-00:08:37 去追問我們
00:08:37-00:08:39 讓我們把這個問題想得更清楚的
00:08:39-00:08:42 那同時如果你是這個行業的重疊者
00:08:42-00:08:44 你也需要去補經驗跟判斷
00:08:44-00:08:45 就等於說
00:08:45-00:08:48 我是一個廣告行業跟營銷行業
00:08:48-00:08:49 就有很多點的人
00:08:49-00:08:50 我對於寫一份方案
00:08:50-00:08:52 我是有自己的判斷的
00:08:52-00:08:54 我對於這個行業或者是這個快銷
00:08:54-00:08:55 它應該怎麼樣玩
00:08:55-00:08:56 它是有自己的判斷的
00:08:56-00:08:59 我就要把這個判斷交給AI
00:08:59-00:09:01 讓它去理解這件事情
00:09:01-00:09:03 那基於這個點子之後呢
00:09:03-00:09:06 你就可以讓AI去幫你寫出提示詞
00:09:06-00:09:08 你只需要基於
00:09:08-00:09:09 告訴AI一件事情
00:09:09-00:09:11 叫做基於上面的溝通
00:09:11-00:09:13 幫我把這個提示詞寫出來
00:09:13-00:09:16 然後再基於這個提示詞
00:09:16-00:09:17 去執行一輪
00:09:17-00:09:18 就等於說
00:09:18-00:09:19 開一個新窗口
00:09:19-00:09:20 讓它去跑一輪
00:09:20-00:09:22 最後再去結果的復盤
00:09:22-00:09:23 就等於說
00:09:23-00:09:25 你覺得它跑出來的這個結果
00:09:25-00:09:26 有哪些好的地方
00:09:26-00:09:28 以及哪些不好的地方
00:09:28-00:09:30 去做一個簡單的復盤
00:09:30-00:09:32 那不好的地方
00:09:32-00:09:33 再去告訴它
00:09:33-00:09:34 基於我們以上的溝通
00:09:34-00:09:37 再去幫我改一下這個提示詞
00:09:37-00:09:39 這樣你就能不停的來回
00:09:39-00:09:40 可能來個四五輪
00:09:40-00:09:42 這個提示詞就能非常符合你
00:09:42-00:09:43 入常業務的所需
00:09:43-00:09:45 我這樣跟大家說
00:09:45-00:09:46 但可能腦子裡面有點
00:09:46-00:09:48 這個提示詞應該
00:09:48-00:09:49 好像還
00:09:49-00:09:53 我還是沒有掌握它的這個寫的方式
00:09:53-00:09:54 那我給用那個WorkBuddy
00:09:54-00:09:55 給大家演示一下
00:09:55-00:09:57 大家也可以打開自己WorkBuddy
00:09:57-00:09:58 大家回憶一下
00:09:58-00:10:00 怎麼去操作WorkBuddy這件事情
00:10:00-00:10:03 首先打開WorkBuddy之後
00:10:03-00:10:04 第一件事情是要看甚麼
00:10:04-00:10:05 大家記得嗎
00:10:05-00:10:06 搜封工作空間
00:10:06-00:10:07 選工作空間對吧
00:10:07-00:10:09 因為為了限制這件事情
00:10:09-00:10:10 這個就是我們所說的
00:10:10-00:10:11 叫做AI的素養
00:10:11-00:10:12 你要有自己的這個
00:10:12-00:10:15 這個慢慢的去養成這樣的習慣
00:10:15-00:10:16 第二個就是去選擇
00:10:16-00:10:18 我們所說的模型
00:10:18-00:10:20 你有自己偏好的完全選擇模型
00:10:20-00:10:21 我們剛才那個步驟
00:10:21-00:10:23 其實有一個點叫甚麼
00:10:23-00:10:24 叫做你要先
00:10:24-00:10:25 AI進行的網馬
00:10:25-00:10:26 對吧
00:10:26-00:10:28 你要告訴他今天你要做一件甚麼事情
00:10:28-00:10:29 舉個例子
00:10:29-00:10:31 那假設說我會思考
00:10:31-00:10:32 哎呀
00:10:32-00:10:36 我最近經常要去給老闆去做這種行業的調研
00:10:36-00:10:38 我能不能每一次
00:10:38-00:10:40 老闆讓我去做這個事情的時候
00:10:40-00:10:43 我就能馬上通過一個提示詞
00:10:43-00:10:46 去給他做出系統性的這樣的一個內容呢
00:10:46-00:10:48 就逃避我給你們的提示詞
00:10:48-00:10:49 其實就通過這樣的方式出來的
00:10:49-00:10:51 我會怎麼去做它呢
00:10:51-00:10:51 首先第一點
00:10:51-00:10:53 我這幾天
00:10:53-00:10:57 我我在這裡給大家演示一下
00:10:57-00:11:01 我需要給老闆做一個行業相關的調研
00:11:01-00:11:03 然後我希望從一個行業專家的角度
00:11:03-00:11:07 能夠去把這件事情梳理成一個非常好的報道給他
00:11:07-00:11:09 然後我想你跟我聊一聊這個事情
00:11:09-00:11:12 就是說如果要對一個行業進行谷析
00:11:12-00:11:15 他應該具備哪些維度的這個因素
00:11:15-00:11:18 我現在輸入的東西
00:11:18-00:11:20 我也是用語音的方式給他留
00:11:20-00:11:22 這個也是我們說AI實在一個很重要的事情
00:11:22-00:11:26 你的電腦裡面如果有安裝微信的話
00:11:26-00:11:28 它其實就有這樣的一個功能
00:11:28-00:11:29 這樣的方便
00:11:29-00:11:30 然後你就發現
00:11:30-00:11:32 他就會去思考這個問題
00:11:32-00:11:37 假設今天如果要去給老闆聊這個事情
00:11:37-00:11:38 他應該具備哪些層面
00:11:38-00:11:40 層次一是甚麼
00:11:40-00:11:41 層次二是甚麼
00:11:41-00:11:42 層次三是甚麼
00:11:42-00:11:43 對
00:11:44-00:11:46 然後他現在已經開始有一些
00:11:46-00:11:48 就是就是去做這樣的
00:11:48-00:11:51 可能他會通過一張圖片的方式讓我
00:11:51-00:11:51 呃
00:11:51-00:11:52 去去
00:11:52-00:11:54 因為我們昨天有講過一個事情
00:11:54-00:11:54 叫Wobardi的
00:11:54-00:11:55 他的harness
00:11:55-00:11:56 他做的比較的複雜
00:11:56-00:11:58 因為他裡面放的太過的東西
00:11:58-00:12:00 所以他有的時候會自己去
00:12:00-00:12:01 我甚至都沒讓他說
00:12:01-00:12:04 幫我把這個視覺的感覺給我做出來
00:12:04-00:12:05 他就自己已經開始
00:12:05-00:12:07 再做一張SVG圖給我了
00:12:07-00:12:09 因為為了讓我看起來很舒服
00:12:09-00:12:10 大家兩天還能看到
00:12:10-00:12:13 那同時很多時候
00:12:13-00:12:15 AI在跑的過程中
00:12:15-00:12:17 其實大家不太會去看
00:12:17-00:12:19 AI在做甚麼事情
00:12:19-00:12:20 但我會建議大家去看
00:12:20-00:12:22 就等於說剛才在跑的過程中
00:12:22-00:12:23 其實我會為甚麼會跟大家說
00:12:23-00:12:24 SVG圖這個事情
00:12:24-00:12:27 因為我看到他裡面會在講這個問題
00:12:27-00:12:29 我們有的時候他會藏起來
00:12:29-00:12:30 把這個思考的內容
00:12:30-00:12:33 那你可能就要學會去看這個裡面的內容
00:12:33-00:12:34 因為你才知道
00:12:34-00:12:36 他有哪些步驟是做的對做的差的
00:12:36-00:12:37 好
00:12:37-00:12:38 回到剛才那個任務
00:12:38-00:12:40 我希望說是你
00:12:40-00:12:41 對吧
00:12:41-00:12:43 你我今天要交一份報告給老闆
00:12:43-00:12:46 這個報告如果每一天都要做這個行業分析
00:12:46-00:12:47 其實我的工作是滿意的
00:12:47-00:12:50 那我應該怎麼把它梳理成一個提示詞呢
00:12:50-00:12:52 無非就是我去跟他說
00:12:52-00:12:53 我要做一件甚麼事情
00:12:53-00:12:53 說清楚
00:12:53-00:12:57 問他我應該居的有哪些層面需要看
00:12:57-00:12:59 那這個裡面就會有行業
00:12:59-00:12:59 他會告訴我
00:12:59-00:13:02 所以你需要做行業的基本面
00:13:02-00:13:04 產業鏈的價值分布
00:13:04-00:13:05 競爭格局
00:13:05-00:13:06 需求測的洞察
00:13:06-00:13:07 趨勢於變化
00:13:07-00:13:10 然後他還以一個SVG圖
00:13:10-00:13:11 這種圖叫做SVG圖
00:13:11-00:13:14 他有這樣的方式給我們去呈現
00:13:14-00:13:15 我們看起來是不是會變清晰一點
00:13:15-00:13:17 等於說今天一份報告裡面
00:13:17-00:13:19 就需要有這些內容
00:13:19-00:13:21 那我剛才說到的第二步是甚麼
00:13:21-00:13:22 大家記得嗎
00:13:22-00:13:24 就是假設今天我要去跟AI聊
00:13:24-00:13:25 我第二步其實是
00:13:25-00:13:27 我要把我的行業經驗也告訴他
00:13:27-00:13:30 因為大多數人在做一件事情的時候
00:13:30-00:13:31 你會比AI更清楚
00:13:31-00:13:34 你的老闆平時在跟你聊甚麼事情
00:13:34-00:13:34 對不對
00:13:34-00:13:37 他平時會有他注意要的回度
00:13:37-00:13:39 甚至說關於這個行業
00:13:39-00:13:40 如果你做了地產行業
00:13:40-00:13:41 你可能還要去搜索
00:13:41-00:13:43 關於現在市面上的政策報告
00:13:43-00:13:45 因為政策會非常影響
00:13:45-00:13:47 黃地產市場的一個發展
00:13:47-00:13:49 那如果你做的是快銷
00:13:49-00:13:52 那你可能要去看淘寶等等的一些銷量
00:13:52-00:13:55 這個其實是你基於行業的判斷
00:13:55-00:13:56 你要加進去的問題
00:13:56-00:13:57 那我需要告訴他
00:13:57-00:14:01 我今天想要做的是房地產行業的這樣
00:14:01-00:14:04 我們公司涉及到更多的是房地產行業的
00:14:04-00:14:04 這樣的一個事情
00:14:04-00:14:06 所以是不是要加入更多的這種
00:14:06-00:14:09 政策性的內容在裡面去會更好呢
00:14:09-00:14:11 然後在這個維度的裡面
00:14:11-00:14:14 我覺得這五個維度可能還相對開起來薄弱了一點
00:14:14-00:14:16 是不是還會有更多的東西
00:14:16-00:14:21 你會發現我就是基於我的想法
00:14:21-00:14:23 在跟他溝通這件事情而已
00:14:23-00:14:25 然後他就可能會去思考
00:14:25-00:14:28 那他會基於內居說房地產這個事情
00:14:28-00:14:29 他會跟我聊
00:14:29-00:14:31 我不一定是從房地產的
00:14:31-00:14:33 我只是拿房地產這個案例來跟大家聊
00:14:33-00:14:37 就是你要補足一些經驗性的東西在裡面
00:14:37-00:14:40 那你會發現他現在就在思考
00:14:40-00:14:41 同時他可能會在想說
00:14:41-00:14:44 還是以剛才給你SBG圖的形式去給你做成現
00:14:44-00:14:46 所以會一直去思考這個問題
00:14:46-00:14:47 想要寫非常多
00:14:47-00:14:48 你會看到
00:14:48-00:14:49 我應該怎麼去
00:14:49-00:14:51 他已經想好了
00:14:51-00:14:52 他已經想怎麼做
00:14:52-00:14:53 但他沒有回答我
00:14:53-00:14:53 因為他
00:14:53-00:14:54 我會告訴他
00:14:54-00:14:56 如果我想他這麼久
00:14:56-00:14:58 不用以SBG圖的形式告訴我
00:14:58-00:15:00 就直接一筆文字就行了
00:15:00-00:15:02 我可以打斷他
00:15:02-00:15:04 我可以把這些事情推上去
00:15:04-00:15:08 中間他的運行的過程都其實是可以打斷的
00:15:08-00:15:08 大家要知道
00:15:08-00:15:11 就是你按這個鍵也可以打斷
00:15:11-00:15:12 你按一條新的內容
00:15:12-00:15:13 發上去
00:15:13-00:15:14 他也會打斷
00:15:14-00:15:17 把這個新關掉
00:15:17-00:15:25 我再畫一遍
00:15:25-00:15:31 他就直接
00:15:31-00:15:35 應該來說就不會以SBG圖的形式去發
00:15:35-00:15:38 直接會以一個就是等於說表格或者是簡單的
00:15:38-00:15:41 因為有的時候過程的這些東西會浪費一些托客
00:15:41-00:15:42 或者是時間
00:15:42-00:15:52 好 來了
00:15:52-00:15:54 那他就會說先把先說政策維度
00:15:54-00:15:55 他不是加進去
00:15:55-00:15:57 應該是必須拎到第一位
00:15:57-00:15:59 因為我給他的是房地產行業的這種調研
00:15:59-00:16:02 那我應該把這種政策
00:16:02-00:16:05 然後會有一個政策與監管市場市場基論面
00:16:05-00:16:07 土地市場工區結構
00:16:07-00:16:08 金融與資金面
00:16:08-00:16:09 然後競爭改革企業分化
00:16:09-00:16:12 相對來說就比上一個會更加的詳細一些
00:16:12-00:16:14 會更加的專業一些了
00:16:14-00:16:16 那我們的重點是甚麼呢
00:16:16-00:16:19 我們這節課的重點是教大家怎麼去寫一個這樣的提示詞
00:16:19-00:16:22 到這一步的時候這個提示詞出來沒有
00:16:22-00:16:22 還沒有
00:16:22-00:16:24 這個東西只是一個原則
00:16:24-00:16:26 就是他要寫這個提示詞的原則是甚麼
00:16:26-00:16:28 那回過頭來
00:16:28-00:16:32 那假設說今天如果我想把這種分析
00:16:32-00:16:34 邏輯做成一個提示詞
00:16:34-00:16:40 當我每一次想要分析一個市場的時候
00:16:40-00:16:41 都會有這樣的邏輯
00:16:41-00:16:46 那請你告訴我這樣的提示詞應該是怎麼樣的
00:16:46-00:16:47 直接給我這個提示詞
00:16:47-00:16:48 就我騙了
00:16:48-00:16:54 所以你會發現一件事情
00:16:54-00:16:55 等一下點它出來
00:16:55-00:16:56 它過程肯定還有一些時間
00:16:56-00:16:58 然後呢
00:16:58-00:16:59 我們的核心是甚麼
00:16:59-00:17:01 就是我們跟它聊完了之後
00:17:01-00:17:03 一個好的提示詞怎麼出來的
00:17:03-00:17:04 其實讓電影愛寫出來
00:17:04-00:17:06 並不是我們自己手中寫出來的
00:17:06-00:17:08 我們只需要把前面的東西聊清楚
00:17:08-00:17:09 聊完之後
00:17:09-00:17:10 讓它去寫一個提示詞
00:17:10-00:17:12 等一下它就會給我一個提示詞
00:17:12-00:17:26 那它自己會形成一個文件給我
00:17:26-00:17:28 有的時候我怎麼說呢
00:17:28-00:17:29 就是我不是很喜歡他
00:17:29-00:17:30 莫巴爾尼的一些
00:17:30-00:17:31 就是它的
00:17:31-00:17:33 它過程中會自己加很多細
00:17:33-00:17:35 你就發現我沒有讓它出圖
00:17:35-00:17:36 它就給我出圖了
00:17:36-00:17:37 我沒有讓它寫文件
00:17:37-00:17:39 它就給我寫文件了
00:17:39-00:17:41 因為它裡面設計的東西
00:17:41-00:17:43 就是它的這種工具啊
00:17:43-00:17:44 包括這些
00:17:44-00:17:46 我們所說的這種
00:17:46-00:17:47 這種專家團呀
00:17:47-00:17:50 或者是你本身自帶的這種Skill啊
00:17:50-00:17:52 它會給你加很多的細
00:17:52-00:17:53 但那些說我們用Codex
00:17:53-00:17:54 或者用其他的東西
00:17:54-00:17:55 就沒有那麼的
00:17:55-00:17:57 就是你所有東西
00:17:57-00:17:58 你都給自己去安裝
00:17:58-00:17:59 對有些人來說是好事
00:17:59-00:18:00 對有些人來說
00:18:00-00:18:02 可能就會覺得有點好
00:18:02-00:18:02 好
00:18:02-00:18:05 它現在的這個行業的分析
00:18:05-00:18:08 這個通用分析框架的提示詞就出來了
00:18:08-00:18:09 首先對吧
00:18:09-00:18:12 你要對一個行業進行系統性的副析
00:18:12-00:18:13 那第一前置對齊
00:18:13-00:18:15 那它會說
00:18:15-00:18:16 你需要對甚麼行業
00:18:16-00:18:18 然後怎麼樣去分析
00:18:18-00:18:21 然後第二是行業特徵識別
00:18:21-00:18:23 第三是怎麼樣的一個框架
00:18:23-00:18:24 第一次是Sowall
00:18:24-00:18:24 第一次是乾嘛
00:18:24-00:18:26 那一般我們怎麼去
00:18:26-00:18:28 然後去用這個提示詞就好了
00:18:28-00:18:29 就一般來說
00:18:29-00:18:30 這一步就已經到達
00:18:30-00:18:32 我們剛才說寫提示詞的哪一步
00:18:32-00:18:33 第三步
00:18:33-00:18:35 已經把這個提示詞第一版的做出來了
00:18:35-00:18:35 對不對
00:18:35-00:18:38 那接下來其實最重要的就是要測試
00:18:38-00:18:40 所以說把它全部複製
00:18:40-00:18:44 然後新建一個任務
00:18:44-00:18:45 那這裡也要
