00:00:00-00:00:01 在FDE也沒有出來之前
00:01:21-00:01:22 或者它的這種
00:01:22-00:01:24 使用過程中的這種
00:01:24-00:01:25 就我們所說的
00:01:25-00:01:26 就是出現的問題
00:01:26-00:01:27 怎麼去拆解
00:01:27-00:01:27 很難搞
00:01:27-00:01:29 那個時候除了扣子以外
00:01:29-00:01:30 還有其他的產品
00:01:30-00:01:31 跟小紅書上面也
00:01:31-00:01:32 火過一段時間的
00:01:32-00:01:33 Apple
00:01:33-00:01:34 包括Defy
00:01:34-00:01:35 都是
00:01:35-00:01:37 其實時間不長的
00:01:37-00:01:39 就去年的時候的產品
00:01:39-00:01:41 但實際上去年非常火
00:01:41-00:01:42 到今年已經
00:01:42-00:01:44 你基本上在市面上
00:01:44-00:01:45 聽不到太多他們的聲音
00:01:45-00:01:46 這是我們所說的
00:01:46-00:01:48 第二個自動化的一個過程
00:01:48-00:01:50 第三個其實是Agent
00:01:50-00:01:50 加Skew
00:01:50-00:01:52 也就是我們在現在來說的
00:01:52-00:01:55 就是昨天到今天
00:01:55-00:01:55 交代一下那個部分
00:01:55-00:01:58 這是現在比較流行的一個方式了
00:01:58-00:01:59 但這個東西大多數的時候
00:01:59-00:02:00 是撥個人
00:02:00-00:02:03 那對於企業來說的時候
00:02:03-00:02:05 現在已經開始去搭自己的Agent
00:02:05-00:02:06 搭自己的工作台
00:02:06-00:02:08 這是現在很多的企業
00:02:08-00:02:09 在實施的部分
00:02:09-00:02:11 也是我們經常會去幫企業做的事情
00:02:11-00:02:13 那除了這些以外
00:02:13-00:02:14 其實像是
00:02:14-00:02:15 企業裡面自己
00:02:15-00:02:17 最低成本
00:02:17-00:02:18 可以去做的事情是甚麼呢
00:02:18-00:02:19 就是例如說
00:02:19-00:02:20 你去搭一個
00:02:20-00:02:21 飛速度多位表格
00:02:21-00:02:22 飛速度多位表格
00:02:22-00:02:24 就可以幫你實現很多的內容
00:02:24-00:02:25 因為它裡面已經內嵌了
00:02:25-00:02:26 AI的功能
00:02:26-00:02:28 只是它不像一個Agent
00:02:28-00:02:30 能幫你推進所有的事情
00:02:30-00:02:32 但因為它裡面內嵌了
00:02:32-00:02:33 大五行這些事情
00:02:33-00:02:34 它可以幫你做到
00:02:34-00:02:37 是類似我們昨天所說的這個出圖
00:02:37-00:02:38 有沒有看到
00:02:38-00:02:39 我昨天給大家練的這張表格
00:02:39-00:02:41 它是能做到這些事情的
00:02:41-00:02:42 這個就是我們所說的
00:02:42-00:02:43 扣子啊
00:02:43-00:02:45 N-B-I-N這些流程的
00:02:45-00:02:47 我當時自己也花了很多時間去學習
00:02:47-00:02:49 我現在想起來真的是傻
00:02:49-00:02:49 對不對
00:02:49-00:02:51 還有流傳一句話呢
00:02:51-00:02:51 叫做
00:02:51-00:02:52 叫做AI這個事情
00:02:52-00:02:53 只要你學的夠慢
00:02:53-00:02:54 你就不用學
00:02:54-00:02:56 對不對
00:02:56-00:02:57 所以但是我相信
00:02:57-00:03:00 你們學了我今天這堂課之後
00:03:00-00:03:02 你會發現這些東西是持久的
00:03:02-00:03:05 因為這些東西是我從二三年到現在的一個層面
00:03:05-00:03:08 我不是教大家去用某一個工具
00:03:08-00:03:10 而是把裡面的原理去給大家說清楚
00:03:10-00:03:11 為甚麼是這個樣子
00:03:11-00:03:12 所以
00:03:12-00:03:13 我
00:03:13-00:03:13 但當然了
00:03:13-00:03:14 也有可能有一天
00:03:14-00:03:16 出來一個AI
00:03:16-00:03:18 所有我說的這些內容已經在裡面了
00:03:18-00:03:19 但是我相信
00:03:19-00:03:21 今天能來到現場的大家
00:03:21-00:03:23 應該還是比較先進的
00:03:23-00:03:25 那當時還有些N-B-I-N的搭建
00:03:25-00:03:26 我給大家看一個過程了
00:03:29-00:03:30 可以幫助你凌晨的
00:03:30-00:03:31 並且低分險的
00:03:31-00:03:33 去批量的獲取小紅書
00:03:33-00:03:35 某個關鍵詞底下的報告文章
00:03:35-00:03:37 達到這樣的一個效果
00:03:37-00:03:38 你可以看到
00:03:38-00:03:40 你可以抓下它的標題證文
00:03:40-00:03:41 以及圖片
00:03:41-00:03:43 還有它的各種數據
00:03:43-00:03:44 那這樣一個工作流
00:03:44-00:03:45 實際上
00:03:45-00:03:48 一共只有5個節點來組成
00:03:48-00:03:51 並且它是非常好操作的
00:03:51-00:03:52 那今天這個視頻
00:03:52-00:03:54 就教大家手把手的
00:03:54-00:03:56 來搭現這個工作流
00:03:56-00:03:57 從MCP的配置
00:03:57-00:03:59 到最後各種節點的
00:03:59-00:04:00 具體的操作
00:04:00-00:04:03 那首先我們在開始之前
00:04:03-00:04:05 我們先理解一下
00:04:05-00:04:06 這整個流程是甚麼樣的
00:04:06-00:04:08 首先我們要輸入自己的
00:04:08-00:04:10 感興趣的關鍵詞
00:04:10-00:04:14 然後這個時候就輪到我們的AI agent
00:04:14-00:04:17 他來調用某一個AI大模型
00:04:17-00:04:19 來操縱這個
00:04:19-00:04:21 看到這裡大家是不是已經暈掉了
00:04:21-00:04:24 我反正當時看到這裡的時候
00:04:24-00:04:25 我已經不知道他在講甚麼了
00:04:25-00:04:27 就是因為裡面會出現
00:04:27-00:04:29 非常多的名詞以及內容
00:04:29-00:04:30 我給他看這個視頻
00:04:30-00:04:32 不讓大家去學M-by-m
00:04:32-00:04:34 我只是出來一個反變教材而已
00:04:34-00:04:36 就是他雖然說他這個東西只有5個節點
00:04:36-00:04:40 但你會發現你後面要你操作的東西無窮度
00:04:40-00:04:42 你看他整個視頻有二三十分鐘
00:04:42-00:04:45 整個的視頻都是讓你配置這些參數啊
00:04:45-00:04:46 配置甚麼內容
00:04:46-00:04:48 非常多這種複雜的內容在
00:04:48-00:04:49 所以當時
00:04:49-00:04:51 我M-by-m流行的時候
00:04:51-00:04:52 作為我們這種叫甚麼
00:04:52-00:04:53 AI的先驅嘛
00:04:53-00:04:54 對吧
00:04:54-00:04:55 就犧牲掉了這一批
00:04:55-00:04:56 對吧
00:04:56-00:04:57 AI的先驅先去學習了
00:04:57-00:04:58 學習到這一步的時候
00:04:58-00:04:59 我真的放棄了
00:04:59-00:05:00 真的
00:05:00-00:05:01 一天的時間
00:05:01-00:05:03 全部耗在各種的這種接口
00:05:03-00:05:04 申請賬號
00:05:04-00:05:05 搭建
00:05:05-00:05:07 雖然他最開始告訴你
00:05:07-00:05:07 只有5個步驟
00:05:07-00:05:09 但我花了一天的時間
00:05:09-00:05:11 然後我還沒有搭完
00:05:11-00:05:12 跑到前面幾步
00:05:12-00:05:13 一直在報錯
00:05:13-00:05:15 因為我不是一個編程出生的
00:05:15-00:05:16 我相信大多數的點點不是
00:05:16-00:05:17 這件事情
00:05:17-00:05:18 為甚麼他會覺得簡單
00:05:18-00:05:19 因為他是一個程序員
00:05:19-00:05:22 所以很多的程序員
00:05:22-00:05:23 在網上交東西的時候
00:05:23-00:05:24 他喜歡以程序員的視角
00:05:24-00:05:26 教你這個事情
00:05:26-00:05:26 但很多的名詞
00:05:26-00:05:28 我們甚至懂都不懂
00:05:28-00:05:29 所以這就是一個最大的問題
00:05:29-00:05:32 我也潛伏到了他們的群裡面
00:05:32-00:05:33 我潛伏到這個群裡面
00:05:33-00:05:34 我會發現一件事情
00:05:34-00:05:37 你看裡面其實有很多的程序員
00:05:37-00:05:39 但是這些程序員
00:05:39-00:05:41 他其實也在問問題
00:05:41-00:05:42 叫做為甚麼這裡又壞了
00:05:42-00:05:44 為甚麼這裡又乾嘛了
00:05:44-00:05:45 所以當時這個東西
00:05:45-00:05:47 要去搭一個這個成本非常高
00:05:47-00:05:49 就是我們可以
00:05:49-00:05:50 那個時候最簡單的一個方式
00:05:50-00:05:52 我們花錢找這個人去搭
00:05:52-00:05:54 但是你如果要自己學
00:05:54-00:05:55 搭建的那個事情
00:05:55-00:05:56 真的是反人性
00:05:56-00:05:57 真的非常反人性
00:05:57-00:05:59 我只是列出來
00:05:59-00:06:00 讓大家看一下而已
00:06:00-00:06:01 那我們說到自動化
00:06:01-00:06:03 包括我比較推薦大家的方式
00:06:03-00:06:04 就像我剛才一樣
00:06:04-00:06:06 去做一個SKU
00:06:06-00:06:08 當你做完了一個SKU之後
00:06:08-00:06:10 你就可以去把你日常的工作
00:06:10-00:06:12 去放在這個SKU裡面
00:06:12-00:06:13 資料也好
00:06:13-00:06:15 或者是一些數據也好
00:06:15-00:06:16 一些我們所說的
00:06:16-00:06:18 這個小的腳本型的工具也好
00:06:18-00:06:19 放進去了之後
00:06:19-00:06:21 你想要怎麼做
00:06:21-00:06:22 你通過一句話的方式
00:06:22-00:06:24 去跟他講這個事情
00:06:24-00:06:25 他就能幫你把這件事情做完
00:06:25-00:06:27 那甚至說你可以
00:06:27-00:06:28 如果你是一個企業
00:06:28-00:06:30 你是可以去搭建這種工具
00:06:30-00:06:32 或者是這種看板
00:06:32-00:06:34 讓你手下的員工
00:06:34-00:06:36 因為你不能指望你手下的員工
00:06:36-00:06:37 每個人都很不會有偉拈
00:06:37-00:06:38 你只能指望他
00:06:38-00:06:41 不會用你搭建的偉拈就OK了
00:06:41-00:06:43 所以你需要去
00:06:43-00:06:45 可以去說去搭一些這樣的看板
00:06:45-00:06:45 或者有內容
00:06:45-00:06:47 去讓別人去做這件事情
00:06:47-00:06:51 那我們因為現在還有一些老闆
00:06:51-00:06:52 我也想給大家科普一個事情
00:06:52-00:06:54 叫做如何去實現
00:06:54-00:06:57 找到並實現自己企業的AI化路線呢
00:06:57-00:06:59 我們離不開現在所說的一個詞
00:06:59-00:06:59 叫FDE
00:06:59-00:07:01 甚麼是FDE呢
00:07:01-00:07:02 知道FDE的請舉個甚麼
00:07:02-00:07:05 不是
00:07:05-00:07:08 來
00:07:08-00:07:09 知道了
00:07:09-00:07:11 有沒有人知道他甚麼意思
00:07:11-00:07:14 其實他核心是Engineer
00:07:14-00:07:16 就是他是一個工程師
00:07:16-00:07:17 FDE的意思是
00:07:17-00:07:18 就等於說
00:07:18-00:07:20 假設我們的合作了
00:07:20-00:07:23 我就派幾個工程師去你們公司
00:07:23-00:07:24 幫你做AI化路線
00:07:24-00:07:26 就是這個道理
00:07:26-00:07:28 就等於說你公司沒有AI能力嘛
00:07:28-00:07:28 對吧
00:07:28-00:07:31 我派幾個人去幫你把這個工作的全搭了
00:07:31-00:07:32 那他其實的來源
00:07:32-00:07:34 其實是Parentier的這家公司
00:07:34-00:07:36 他們做這種部署
00:07:36-00:07:38 包括這種我們所說的
00:07:38-00:07:40 他們是從SARS的那個時代開始的
00:07:40-00:07:43 然後開始去給各種公司
00:07:43-00:07:44 去做數字化轉型
00:07:44-00:07:47 到現在去做AI化轉型的這件事情
00:07:47-00:07:49 其實美國極其出名的一家公司
00:07:49-00:07:52 也是這個行業的一個先驅
00:07:52-00:07:53 那我們說叫做甚麼
00:07:53-00:07:54 企業的AI時代
00:07:54-00:07:56 其實像是OpenAI
00:07:56-00:07:57 包括Enterofic
00:07:57-00:07:59 我們前面所說的這些AI巨頭
00:07:59-00:08:01 他們也在開始去說
00:08:01-00:08:04 自己招自己的FDE工程師
00:08:04-00:08:06 我去幫你們企業去搭這個事情
00:08:06-00:08:08 所有人都在做這件事情
00:08:08-00:08:10 因為我們說AI時代到來
00:08:10-00:08:12 沒有一家企業的信品
00:08:12-00:08:14 所有的企業都需要或多或少的去進步
00:08:14-00:08:16 那在這個裡面呢
00:08:16-00:08:18 其實FDE它本身就是把AI從最開始
00:08:18-00:08:19 你可能知道了
00:08:19-00:08:20 AI能做這些事情
00:08:20-00:08:21 但你在搭建過程中
00:08:21-00:08:22 一定有出現任何問題
00:08:22-00:08:24 你就不如來找專業的人做這些事情
00:08:24-00:08:26 這樣的一個詞意
00:08:26-00:08:28 那企業很多時候
00:08:28-00:08:29 你卻買了一些工具
00:08:29-00:08:30 買了一些模型
00:08:30-00:08:32 但其實用到現在
00:08:32-00:08:33 我前面給大家貼個圖
00:08:33-00:08:37 美團的這個網普中
00:08:37-00:08:38 他們都發了就是說
00:08:38-00:08:39 裝了所有的小龍腔
00:08:39-00:08:40 每天花了這麼多錢
00:08:40-00:08:43 結果還反而對自己的業務流程
00:08:43-00:08:44 產生了阻礙
00:08:44-00:08:46 那其實本質上是有甚麼原因
00:08:46-00:08:47 其實就是沒有打通
00:08:47-00:08:50 那本身是業務流程的問題
00:08:50-00:08:51 所以我們核心
00:08:51-00:08:53 用AI不是為了用AI
00:08:53-00:08:55 用AI是為了業務更好的精進
00:08:55-00:08:57 以及效率的平生
00:08:57-00:08:59 那你純粹去買一個模型
00:08:59-00:09:00 買一個工具
00:09:00-00:09:01 其實是沒有用的
00:09:01-00:09:03 而更多的是需要基於自己的業務
00:09:03-00:09:05 去做AI化的落地改造
00:09:05-00:09:06 有像我一樣
00:09:06-00:09:07 我給大家一件事的
00:09:07-00:09:09 我以前寫東西是手寫的
00:09:09-00:09:11 我以前收集書寫是手收集的
00:09:11-00:09:12 用腦騰訊收集的
00:09:12-00:09:14 現在全部都是AI自個化
00:09:14-00:09:15 保網絡的事做完它
00:09:15-00:09:17 那落下來
00:09:17-00:09:18 好的FDE
00:09:18-00:09:20 它其實需要具備一些能力
00:09:20-00:09:22 因為你們肯定到後面
00:09:22-00:09:24 也會去找到這樣的公司
00:09:24-00:09:26 去給你們做一些服務
00:09:26-00:09:28 那它可能需要具備甚麼能力呢
00:09:28-00:09:31 首先可能需要有工程的交付能力
00:09:31-00:09:34 它一定要懂一些代碼形式的內容
00:09:34-00:09:35 那就是說他們團隊
00:09:35-00:09:37 一定要有工程師性質的人
00:09:37-00:09:40 第二是它要理解企業的邊界
00:09:40-00:09:42 以及AI的邊界
00:09:42-00:09:43 它要知道怎麼更好的
00:09:43-00:09:45 去融合到一起
00:09:45-00:09:47 第三它要懂你的業務
00:09:47-00:09:49 它要坐在你的業務員的旁邊
00:09:49-00:09:51 去觀察它到底是怎麼工作的
00:09:51-00:09:54 從而去不打破你們原有的
00:09:54-00:09:55 這個業務流程的情況下
00:09:55-00:09:57 就可以給你們構建一套
00:09:57-00:09:58 適配你們的方式
00:09:58-00:10:00 所以這其實是我們所說的
00:10:00-00:10:03 好的FDE的一個地方
00:10:03-00:10:05 那在這個裡面
00:10:05-00:10:09 其實我們自己會建議大家
00:10:09-00:10:10 如果說在場的有些老闆
00:10:10-00:10:12 大家想去做這件事情
00:10:12-00:10:13 我們會比較建議大家
00:10:13-00:10:14 去做這幾件事情
00:10:14-00:10:16 就是你不要一上來了之後
00:10:16-00:10:18 去找一家FDE公司去簽約
00:10:18-00:10:20 或者是去招這樣的一個崗位
00:10:20-00:10:21 我們現在也看到很多的
00:10:21-00:10:23 企業的招聘這樣的一些崗位
00:10:23-00:10:26 但招進來我們之前公司也招過
00:10:26-00:10:27 但招完之後就發現
00:10:27-00:10:29 它待不了兩個月它就會走
00:10:29-00:10:31 經常會出現這樣的一個問題
00:10:31-00:10:32 原因是甚麼
00:10:32-00:10:34 它沒有辦法融入你們的業務的場景
00:10:34-00:10:37 因為可能大家的這個認知程度
00:10:37-00:10:39 包括這種業務的融合度
00:10:39-00:10:39 沒有那麼好
00:10:39-00:10:41 所以這其實就是一個最大的問題
00:10:41-00:10:43 那我們自己最近現在實踐下來
00:10:43-00:10:44 比較好的一個方式
00:10:44-00:10:46 其實很核心的
00:10:46-00:10:47 有一個點是場景
00:10:47-00:10:49 有一些場景是適合的
00:10:49-00:10:51 有一些場景是不適合的
00:10:51-00:10:53 你如果想要推行這些事情
00:10:53-00:10:56 最重要的是找到一個能做下來
00:10:56-00:10:58 以及能讓大家有信心的場景
00:10:58-00:10:59 在做的過程中
00:10:59-00:11:01 因為企業老闆經常在花錢
00:11:01-00:11:04 要支出這些費用給到這些FDE
00:11:04-00:11:07 那他的心理人就會在想一個問題
00:11:07-00:11:10 這麼久了怎麼還沒看到這個成果呢
00:11:10-00:11:10 對不對
00:11:10-00:11:11 經常會有這個事情
00:11:11-00:11:13 但這個成果的問題
00:11:13-00:11:14 有可能不是FDE來來的
00:11:14-00:11:16 是因為你們企業本身的數字化
00:11:16-00:11:17 要做好
00:11:17-00:11:19 所以它的效果可能沒有那麼好
00:11:19-00:11:21 那在這個情況下
00:11:21-00:11:22 就會出現一個情況
00:11:22-00:11:24 就是我們最開始介入的時候
00:11:24-00:11:26 一定要選到一個高頻
00:11:26-00:11:28 且沒有那麼複雜的場景去做
00:11:28-00:11:30 給彼此接近信任跟信心
00:11:30-00:11:31 那第二
00:11:31-00:11:33 就是要去選對人跟團隊
00:11:33-00:11:35 就是一個公司有很多的部門
00:11:35-00:11:37 你要從哪個部門開始AI化
00:11:37-00:11:39 你要從哪個部門開始這種基建
00:11:39-00:11:41 那這個也是很重要的
00:11:41-00:11:42 有一些業務重的
00:11:42-00:11:44 你可能就不太適合
00:11:44-00:11:45 廣光廣然的去介入
00:11:45-00:11:46 可能會影響
00:11:46-00:11:47 整個業務的正常的進行
00:11:47-00:11:49 那我們可能會選擇
00:11:49-00:11:49 我們自己
00:11:49-00:11:50 類似說
00:11:50-00:11:51 你去改造一些理方的企業
00:11:51-00:11:53 就廣光公司
00:11:53-00:11:53 那會乾嘛
00:11:53-00:11:56 我們會去挑選一些小團隊
00:11:56-00:11:56 類似說
00:11:56-00:11:57 它是一個業部
00:11:57-00:11:58 它專門FORM
00:11:58-00:11:59 某一類的客戶
00:11:59-00:12:01 它可能只有幾個人
00:12:01-00:12:02 我們會選擇這種小團隊
00:12:02-00:12:03 先去介入
00:12:03-00:12:04 讓他們先跑起來
00:12:04-00:12:04 這樣的話
00:12:04-00:12:07 既不會阻礙你們公司的正常業務
00:12:07-00:12:09 又能夠讓這個模式成為一個好的模式
00:12:09-00:12:11 那然後去試點
00:12:11-00:12:12 然後再去上線
00:12:12-00:12:13 交接以及復用
00:12:13-00:12:15 而且FDE它不是一件
00:12:15-00:12:16 類似說
00:12:16-00:12:16 我給你簽了一個單
00:12:16-00:12:19 我幫你交付了一套系統
00:12:19-00:12:20 它就能解決的問題
00:12:20-00:12:21 因為AI
00:12:21-00:12:23 你像我們今天講的所有內容
00:12:23-00:12:25 其實是三年內的內容
00:12:25-00:12:26 它的變化的過程
00:12:26-00:12:27 從剛才的那個自動化
00:12:27-00:12:28 裡面也能看出來
00:12:28-00:12:30 可能類似說
00:12:30-00:12:31 你去年的時候
00:12:31-00:12:32 找一些FDE來給你進駐
00:12:32-00:12:34 它給你搭了一套扣子
00:12:34-00:12:35 花了幾十萬
00:12:35-00:12:37 結果到中間出現了各種問題
00:12:37-00:12:39 你要想到今天
00:12:39-00:12:40 其實它就細節損好
00:12:40-00:12:41 而且它也不會用
00:12:41-00:12:42 所以現在我們說
00:12:42-00:12:43 跟企業去合作
00:12:43-00:12:44 做AI這件事情
00:12:44-00:12:45 大多數的時候
00:12:45-00:12:47 更多的是應該以一個
00:12:47-00:12:48 培訓培考資訊的
00:12:48-00:12:49 這樣的一個角度去切入
00:12:49-00:12:51 等於說我們要陪伴
00:12:51-00:12:53 你們去做好
00:12:53-00:12:54 類似說認知的升級
00:12:54-00:12:56 以及說接下來的
00:12:56-00:12:57 這種內部的改造
00:12:57-00:12:57 那件事情
00:12:57-00:12:59 所以這其實是一個
00:12:59-00:13:01 正確的合作的一個關係
00:13:01-00:13:03 所以講到這裡
00:13:03-00:13:04 其實核心是
00:13:04-00:13:06 就是為了讓大家
00:13:06-00:13:08 認知到現在整個行業
00:13:08-00:13:09 發生一些甚麼樣的事情
00:13:09-00:13:11 就是如果你今天想要給企業
00:13:11-00:13:12 做變化改造
00:13:12-00:13:14 這個詞你是已經離不開了
00:13:14-00:13:16 這個崗位或者這樣的一個企業
00:13:16-00:13:17 這樣的一個合作夥伴
00:13:17-00:13:18 你一定是離不開的
00:13:18-00:13:21 所以也是給大家做一個小小的普及
00:13:21-00:13:23 那講到這裡
00:13:23-00:13:26 我的部分就基本上講完了
00:13:26-00:13:28 再給大家簡單的回顧一下
00:13:28-00:13:30 內容是比較多的
00:13:30-00:13:31 昨天講了甚麼東西
00:13:31-00:13:34 行業的變化
00:13:34-00:13:35 以及認知的框架
00:13:35-00:13:36 以及包括
00:13:36-00:13:37 Agent 加模型
00:13:37-00:13:38 找到先採密工具
00:13:38-00:13:39 這一部分其實是一個
00:13:39-00:13:41 認知加工具的地方
00:13:41-00:13:42 下面
00:13:42-00:13:44 這就是3 這陣4
00:13:44-00:13:44 5
00:13:44-00:13:45 昨天下午
00:13:45-00:13:46 下午後面的那部分
00:13:46-00:13:48 它其實有非常多的場景
00:13:48-00:13:49 都是大家的職場
00:13:49-00:13:51 那些日常工作裡面
00:13:51-00:13:52 經常會用到的場景
00:13:52-00:13:53 信息減數
00:13:53-00:13:55 穩圖視頻的生產
00:13:55-00:13:56 以及數據分析
00:13:56-00:13:57 到今天上午
00:13:57-00:13:58 我們講了甚麼
00:13:58-00:13:59 講了提示詞
00:13:59-00:14:01 而SQ的構件
00:14:01-00:14:03 以及剛才所說的
00:14:03-00:14:04 這個企業化落地的這個事情
00:14:04-00:14:07 那總結來說
00:14:07-00:14:08 你們發現一件事情
00:14:08-00:14:08 叫甚麼
00:14:08-00:14:09 叫短短三年
00:14:09-00:14:11 就好像跨過了一個起點
00:14:11-00:14:13 甚麼是起點
00:14:13-00:14:14 就是量變
00:14:14-00:14:15 達到自變的那個點
00:14:15-00:14:17 前幾年大家都還在
00:14:17-00:14:19 說AI增效
00:14:19-00:14:19 AI增效
00:14:19-00:14:22 今年突然就變成了
00:14:22-00:14:24 AI要砍人了
00:14:24-00:14:24 老闆
00:14:24-00:14:26 老闆經常會問我們的一個問題
00:14:26-00:14:27 就是那個問題
00:14:27-00:14:30 就是我跟你們合作了
00:14:30-00:14:32 我能不能把我們20的員工砍掉
00:14:32-00:14:34 20%的員工砍掉
00:14:34-00:14:36 天天都問我們這個問題
00:14:36-00:14:37 我們說我沒辦法給你們包票的
00:14:37-00:14:39 因為這個事情其實我們還要看
00:14:39-00:14:41 因為AI它還沒有說完全成熟
00:14:41-00:14:43 但是從目前來說
00:14:43-00:14:45 很多的小額美的公司
00:14:45-00:14:46 它反而通過
00:14:46-00:14:48 AI的不斷強化學習
00:14:48-00:14:50 跑得比很多的大公司很快
00:14:50-00:14:52 所以這其實就是一個
00:14:52-00:14:54 很核心的一個變化了
00:14:54-00:14:56 那我們
00:14:56-00:14:58 我們教了非常多的內容
00:14:58-00:14:59 我們核心的問題
00:14:59-00:15:00 就是AI怎麼用
00:15:00-00:15:01 然後這個東西
00:15:01-00:15:04 其實你除了今天我們的學習以外
00:15:04-00:15:07 我相信大家已經有了一個比較好的體系的觀感
00:15:07-00:15:09 然後你們再去看網上的資料的時候
00:15:09-00:15:11 你就大概知道工具的細節
