00:00:00-00:00:02 把那扣交給他我就可以去睡覺了
00:07:47-00:07:47 OK
00:07:47-00:07:49 講這些支持呢其實我不太在喊了
00:07:49-00:07:49 所以呢
00:07:49-00:07:51 我幹了什麼事情呢
00:07:51-00:07:52 我幹了一些很厲害的事情
00:07:52-00:07:54 我用Hunners呢做了一個
00:07:54-00:07:58 只要我發一條抖音視頻給我這個Hunners
00:07:58-00:08:00 他就能生產一條教育的視頻
00:08:00-00:08:00 OK
00:08:01-00:08:02 所以我們來看看我的Hunners做出來的視頻
00:08:03-00:08:03 找怎麼樣了
00:08:04-00:08:05 想到什麼就讓AI
00:08:06-00:08:07 我一句我只
00:08:07-00:08:09 我只跟他講了五秒鐘的話而已
00:08:10-00:08:10 然後呢
00:08:10-00:08:12 他是跟我一樣的聲音啊
00:08:12-00:08:15 是不是想到什麼就讓AI做什麼
00:08:15-00:08:17 先不要急著讓AI幹活
00:08:17-00:08:19 真正要回答的是
00:08:19-00:08:20 任務有多複雜
00:08:21-00:08:22 以及你需要多強的控制力
00:08:23-00:08:24 清任務只要快速驗證
00:08:25-00:08:26 複雜任務才需要拆分
00:08:26-00:08:27 入游
00:08:27-00:08:28 和狀態管理
00:08:29-00:08:30 七種架構不是排行榜
00:08:31-00:08:32 而是一條從Done Agent
00:08:32-00:08:34 到協作系統
00:08:34-00:08:36 再到Graph Workflow的眼鏡線
00:08:36-00:08:38 本章先記住兩個判斷軸
00:08:39-00:08:40 複雜度和控制力
00:08:40-00:08:42 後面每一種架構
00:08:42-00:08:44 都放回這張座標系列選擇
00:08:44-00:08:45 Done Agent
00:08:45-00:08:47 就是一個大模型包攬輸入
00:08:47-00:08:48 思考
00:08:48-00:08:49 調用工具和輸出
00:08:50-00:08:50 它簡單
00:08:51-00:08:51 便宜
00:08:51-00:08:52 延遲低
00:08:52-00:08:53 適合做概念驗證
00:08:54-00:08:54 和簡單對話
00:08:55-00:08:56 一旦任務變複雜
00:08:56-00:08:58 模型容易認知過載
00:08:58-00:09:00 出現上下文污染
00:09:00-00:09:01 Reactor
00:09:01-00:09:02 把過程變成
00:09:02-00:09:03 reason 加 action 的循環
00:09:04-00:09:04 思考
00:09:04-00:09:05 行動
00:09:05-00:09:05 觀察
00:09:06-00:09:07 再決定下一步
00:09:07-00:09:10 它比Done Agent更適合多度探索
00:09:10-00:09:11 也更容易解釋過程
00:09:11-00:09:13 但Token消耗大
00:09:13-00:09:13 容易跑偏
00:09:14-00:09:16 不適合直接承擔大規模生產流程
00:09:17-00:09:18 Plan and Execute
00:09:19-00:09:20 先生成完整計劃
00:09:21-00:09:22 再按步驟執行
00:09:22-00:09:23 它讓流程更穩定
00:09:23-00:09:26 適合代碼生成和長流程自動化
00:09:26-00:09:28 但計劃如果一開始就錯
00:09:28-00:09:30 後面的執行會把錯誤放大
00:09:31-00:09:33 靈活性也不如React
00:09:33-00:09:34 Multi Agent
00:09:34-00:09:35 再進一步
00:09:35-00:09:36 把任務分別不同角色
00:09:37-00:09:37 例如
00:09:37-00:09:37 Planter
00:09:38-00:09:38 Executor
00:09:38-00:09:39 Planter和Reveal
00:09:39-00:09:40 這樣上下文
00:09:40-00:09:41 邊界更清楚
00:09:41-00:09:43 複雜流程更容易擴展
00:09:44-00:09:45 代價是調用成本
00:09:45-00:09:48 協作協議和失敗處理都會增加
00:09:48-00:09:51 它適合對流程移植性要求高的行業任務
00:09:53-00:09:56 Looter加Scale的關鍵不是讓模型自由發揮
00:09:56-00:09:59 而是先讓意圖路由器選中一個Scale
00:09:59-00:10:01 再執行這項可復用能力
00:10:02-00:10:04 這樣更穩定更容易緩存
00:10:04-00:10:06 也能用命中率評估效果
00:10:06-00:10:08 代價是Scale設計成本高
00:10:08-00:10:10 還要處理路由衝突
00:10:10-00:10:11 Blackboard
00:10:11-00:10:15 則讓多個Agent共同讀寫一份共享狀態
00:10:15-00:10:17 狀態變化推動下一步執行
00:10:17-00:10:19 它適合複雜協作
00:10:19-00:10:20 但狀態模型
00:10:20-00:10:22 全線和追蹤必須先設計好
00:10:23-00:10:25 否則出了問題很難定位
00:10:26-00:10:27 Graph Workflow
00:10:27-00:10:29 用圖來編排長流程
00:10:29-00:10:30 節點代表步驟
00:10:31-00:10:32 編代表條件
00:10:32-00:10:34 它可以支持分支
00:10:34-00:10:36 並行回溯和從事
00:10:36-00:10:39 所以最適合流程自動化和生產環境
00:10:40-00:10:43 你可以把七種架構排成一條眼鏡線
00:10:43-00:10:45 Done Agent做最小驗證
00:10:45-00:10:47 React做多步探索
00:10:47-00:10:50 Plan and Execute做工程化
00:10:50-00:10:52 Dore Agent做角色協作
00:10:52-00:10:54 Rode Skill做精準技能系統
00:10:55-00:10:57 Blackboard管共享狀態
00:10:57-00:10:59 Graph Workflow承載長流程
00:10:59-00:11:02 最後用三論做選擇
00:11:02-00:11:03 任務有多複雜
00:11:03-00:11:04 哪裡必須可控
00:11:04-00:11:07 失敗後能不能重施和回滾
00:11:07-00:11:08 沒有最好的架構
00:11:08-00:11:10 只有最合適的架構
00:11:11-00:11:13 哇 講的比我好太多了
00:11:13-00:11:13 OK
00:11:13-00:11:15 這個呢就是我只用了
00:11:16-00:11:16 三個字
00:11:16-00:11:17 三件事啊
00:11:17-00:11:19 第一我找了個抖音視頻
00:11:19-00:11:21 PTT做的很好看
00:11:21-00:11:21 對吧
00:11:22-00:11:23 抖音一大堆那種視頻啊
00:11:23-00:11:24 我覺得他講的很好啊
00:11:25-00:11:26 但是我怎麼
00:11:26-00:11:28 如果我現場講啊
00:11:28-00:11:29 我講不出這種效果
00:11:29-00:11:30 說實在的
00:11:30-00:11:31 所以我就在思考
00:11:31-00:11:32 怎麼做個助教Agent出來
00:11:33-00:11:33 對吧
00:11:33-00:11:34 然後助教Agent呢
00:11:34-00:11:35 就是我先給他素材
00:11:36-00:11:37 抖音這個素材
00:11:37-00:11:38 OK 待會我會稍微講一下
00:11:39-00:11:41 我用了什麼架構來做這個助教Agent
00:11:41-00:11:42 現在呢
00:11:42-00:11:44 我這個Agent厲害到什麼程度了
00:11:44-00:11:45 我隨便發他一個
00:11:45-00:11:46 一個
00:11:46-00:11:47 三更中的視頻
00:11:48-00:11:49 不用超多少Token
00:11:49-00:11:51 就出來一個有我聲音
00:11:51-00:11:52 甚至能有我數字人啊
00:11:52-00:11:55 一個PTT動畫都做好的一個視頻
00:11:55-00:11:56 語音還是對齊的
00:11:56-00:11:57 我一個
00:11:57-00:11:59 就沒有給他任何的
00:11:59-00:12:00 複雜的操作
00:12:00-00:12:01 他就可以做出來了
00:12:07-00:12:08 那再補充一點啊
00:12:08-00:12:09 系統裡面呢
00:12:09-00:12:11 其實未來系統更值錢的是什麼
00:12:12-00:12:13 是他的一個
00:12:14-00:12:15 安全性和權限
00:12:15-00:12:16 對吧
00:12:16-00:12:16 不要有人說
00:12:17-00:12:18 哇我搞了一個系統很厲害
00:12:18-00:12:19 我要上線了
00:12:19-00:12:20 最後不是崩了
00:12:20-00:12:21 就是被人黑了
00:12:21-00:12:21 對吧
00:12:21-00:12:24 然後呢還一堆代碼不知道怎麼改過來
00:12:24-00:12:25 OK所以未來其實
00:12:26-00:12:28 你說工程師的職業會不會替代
00:12:29-00:12:30 實際上最後一個環節
00:12:30-00:12:33 怎麼能夠穩定的7x24服務
00:12:33-00:12:33 對吧
00:12:34-00:12:35 第一個穩定性
00:12:35-00:12:36 第二個安全性
00:12:36-00:12:37 會不會
00:12:38-00:12:38 兜底啊
00:12:38-00:12:40 怎麼有人太多人過載的時候
00:12:40-00:12:42 有bug了怎麼辦啊
00:12:42-00:12:42 對吧
00:12:42-00:12:43 能不能修復啊
00:12:43-00:12:44 等等等等啊
00:12:44-00:12:46 這些才是最難的工作
00:12:46-00:12:47 執行和展示
00:12:47-00:12:49 一定不是什麼難的事情啊
00:12:49-00:12:58 好所以這個呢控制點呢
00:12:58-00:12:58 就是說我們
00:12:59-00:12:59 呃
00:12:59-00:13:00 需要過程留衡啊
00:13:00-00:13:02 哪些人做過什麼操作
00:13:02-00:13:03 這個是安全性的事情
00:13:04-00:13:04 對吧
00:13:04-00:13:07 然後再來我們要有一些驗證
00:13:07-00:13:10 最後呢什麼情況下很緊急的要把站把它停機了
00:13:11-00:13:11 這些都是
00:13:12-00:13:14 工程師最後最值錢的地方
00:13:14-00:13:17 把高風險的東西留給人啊
00:13:18-00:13:19 把低風險啊
00:13:19-00:13:20 什麼固定的展示啊
00:13:21-00:13:21 呃
00:13:21-00:13:24 跟那個網頁的一些文字啊
00:13:24-00:13:25 這種低風險啊
00:13:25-00:13:26 全全交給AI就可以了
00:13:33-00:13:34 好接下來呢
00:13:34-00:13:35 就重點啊
00:13:35-00:13:37 為什麼我架構也選了
00:13:37-00:13:39 Agent 還是沒有按照我的要求
00:13:39-00:13:41 把事情做出來呢
00:13:41-00:13:42 OK
00:13:42-00:13:44 有幾個可能啊
00:13:44-00:13:45 有幾個可能啊
00:13:45-00:13:45 就是你可能
00:13:46-00:13:48 目標跟邊界講的不清楚啊
00:13:49-00:13:49 然後呢
00:13:50-00:13:52 AI 也對你的意圖理解的不深
00:13:52-00:13:54 然後代碼寫的越多可能
00:13:54-00:13:56 你越要改動又要閱讀
00:13:56-00:13:57 就比較痛苦啊
00:13:57-00:13:58 那我們怎麼能夠
00:13:58-00:13:59 怎麼能夠
00:14:00-00:14:01 把這個事情做好呢
00:14:02-00:14:02 這裡呢
00:14:02-00:14:03 我們真的要去
00:14:04-00:14:05 多調用一些skills啊
00:14:05-00:14:07 這個我給大家介紹一下
00:14:07-00:14:08 但以前說啊
00:14:08-00:14:09 很多skills是需要
00:14:09-00:14:10 增留別人啊
00:14:11-00:14:11 什麼意思啊
00:14:11-00:14:14 今天如果我是一個很厲害的工程師
00:14:14-00:14:15 然後他就會
00:14:16-00:14:17 老闆就會思考了
00:14:17-00:14:17 這個人
00:14:18-00:14:18 工資又高了
00:14:19-00:14:21 怎麼把它寫成skills就可以把它裁了
00:14:21-00:14:21 對吧
00:14:21-00:14:23 我用AI 調用這個skills就可以了
00:14:23-00:14:24 但現在呢
00:14:24-00:14:25 很多skills都是開業免費的
00:14:26-00:14:27 而且做得非常好啊
00:14:27-00:14:28 像這個呢
00:14:28-00:14:28 是
00:14:28-00:14:31 Codex 裡面最厲害最厲害的一個skills啊
00:14:31-00:14:33 是我騰訊那個每個月
00:14:33-00:14:34 稍微8000刀的那個
00:14:34-00:14:35 那個介紹我用的
00:14:35-00:14:36 這個叫Superpowers
00:14:37-00:14:37 對
00:14:37-00:14:38 大家可以記憶一下
00:14:38-00:14:38 這個是
00:14:39-00:14:40 真的強大大不行
00:14:40-00:14:42 我現在用最多的就是這個skills
00:14:43-00:14:43 他是幹什麼
00:14:43-00:14:46 他其實就是一個最頂尖的一個工程師
00:14:47-00:14:48 他做的事情啊
00:14:48-00:14:48 很厲害的
00:14:49-00:14:49 比如說我要做
00:14:50-00:14:51 我今天這幾個網站啊
00:14:51-00:14:52 都是我幫他來做的
00:14:52-00:14:54 我一個字都沒有碰
00:14:54-00:14:55 我第一步
00:14:55-00:14:56 他會跟你brainstorm
00:14:56-00:14:57 跟你需求對齊
00:14:58-00:14:58 所以為什麼叫
00:14:59-00:14:59 人跟AI聊
00:14:59-00:15:00 不要跟人聊
00:15:00-00:15:01 因為他可能更懂你
00:15:02-00:15:03 你跟他brainstorm
00:15:03-00:15:04 到底你要做什麼
00:15:05-00:15:05 要寫什麼代碼
00:15:06-00:15:06 實現什麼功能
00:15:07-00:15:09 他會每一個環節都問你問題的
00:15:10-00:15:11 你要先告訴他
00:15:11-00:15:11 你有什麼目標
00:15:12-00:15:13 他就開始問你問題了
00:15:13-00:15:14 這個是這樣做嗎
00:15:14-00:15:15 你是想這樣嗎
00:15:15-00:15:16 等等等等啊
00:15:16-00:15:18 最後寫成需求表了以後
00:15:18-00:15:21 他還會去Git上面幫你創建一個項目
00:15:21-00:15:22 因為這樣你才能回退啊
00:15:22-00:15:24 或者是疊貸啊等等啊
00:15:24-00:15:25 保存啊
00:15:25-00:15:26 第三步
00:15:26-00:15:27 他會幫你寫執行計劃
00:15:27-00:15:28 第一步
00:15:28-00:15:30 我們要先把前端寫出來
00:15:31-00:15:31 然後呢
00:15:31-00:15:32 搭一個數據庫
00:15:32-00:15:34 最後呢把你的後台弄進去
00:15:34-00:15:35 你的後台有這麼多功能
00:15:35-00:15:36 我又會
00:15:36-00:15:37 創建一個
00:15:37-00:15:38 後台的agent
00:15:38-00:15:39 去幫你執行任務
00:15:40-00:15:41 壓根我一個字都沒寫
00:15:41-00:15:42 OK
00:15:42-00:15:43 然後第四步他會
00:15:43-00:15:45 創建很多個子agent
00:15:45-00:15:47 負責不同的任務
00:15:47-00:15:48 第五步厲害了
00:15:49-00:15:49 以前呢
00:15:49-00:15:51 我們做很多系統出來都是
00:15:51-00:15:51 哦
00:15:51-00:15:52 產品經理有需求
00:15:53-00:15:54 然後給到程序員
00:15:54-00:15:55 程序員寫完了
00:15:55-00:15:57 然後找到測試那邊去測的
00:15:57-00:15:58 他這個厲害了
00:15:58-00:16:00 直接幫你創建了一堆測試員
00:16:00-00:16:03 然後把你的不同環節全部測試通了
00:16:03-00:16:04 他才會交付給你
00:16:05-00:16:06 第六步呢
00:16:06-00:16:07 又有一個
00:16:07-00:16:08 COVID-19的一個過程
00:16:08-00:16:10 就是幫你看一下代碼有沒有
00:16:10-00:16:11 隆餘的呀
00:16:11-00:16:12 效率不好的呀
00:16:12-00:16:13 或者寫錯的呀
00:16:13-00:16:14 或者有更好的寫法
00:16:15-00:16:16 他都會幫你做審查
00:16:17-00:16:17 然後最後呢
00:16:18-00:16:18 幫你
00:16:18-00:16:20 發佈到不同的分支
00:16:20-00:16:21 有需要的時候再合併啊
00:16:21-00:16:23 這個也是記號上面
00:16:23-00:16:25 基本上最多信心的一個skill了
00:16:25-00:16:28 就是幫你請一個工程師到你們公司裡面去吧
00:16:33-00:16:34 但是他有個缺點是什麼
00:16:35-00:16:36 大家覺得他的缺點是什麼
00:16:36-00:16:37 這麼完善的一個skill
00:16:39-00:16:40 Token很貴
00:16:40-00:16:41 這第一個啊
00:16:41-00:16:42 第二個是
00:16:42-00:16:43 如果你一開始的需求是錯的
00:16:44-00:16:44 他幹了
00:16:45-00:16:46 六個小時後
00:16:46-00:16:47 你會發現
00:16:47-00:16:48 沒法改了
00:16:48-00:16:49 錯的離譜
00:16:49-00:16:51 就是用過一開始錯的話
00:16:51-00:16:52 就會錯的很離譜
00:16:53-00:16:54 這個老師
00:16:55-00:16:56 你講的很好
00:16:56-00:16:57 那他這第一步他用什麼
00:16:58-00:16:58 第二步用什麼
00:16:59-00:17:00 那個工具你怎麼介紹一下
00:17:01-00:17:01 呃
00:17:02-00:17:02 稍等
00:17:03-00:17:03 我待會有點會弄
00:17:04-00:17:04 OK
00:17:04-00:17:06 因為其實現在在場的呀
00:17:06-00:17:07 我覺得
00:17:07-00:17:08 我的東西是很
00:17:08-00:17:09 比較
00:17:09-00:17:11 就是如果是剛接觸AI
00:17:11-00:17:12 可能這東西都不聽不太懂
00:17:13-00:17:13 對吧
00:17:13-00:17:14 那沒有關係
00:17:14-00:17:15 我這東西啊
00:17:15-00:17:16 啊
00:17:16-00:17:17 因為我昨天做
00:17:17-00:17:18 看了一下
00:17:18-00:17:19 其實真正裝Codex的人
00:17:20-00:17:21 呃只有三五個
00:17:21-00:17:23 從前呢也只有三五個
00:17:23-00:17:24 所以其實你們的階段
00:17:24-00:17:25 可能還在為Body
00:17:25-00:17:27 和普通的工作而已
00:17:27-00:17:28 但我這東西先給你說了
00:17:29-00:17:30 你不一定馬上能用
00:17:30-00:17:31 但是過了
00:17:31-00:17:32 過了一兩個月你會發現
00:17:33-00:17:34 哇龍哥講的這個東西
00:17:34-00:17:35 才真正是AI啊
00:17:35-00:17:35 對吧
00:17:36-00:17:36 才真的是
00:17:36-00:17:37 怎麼去
00:17:37-00:17:39 怎麼去用工程化的思維
00:17:39-00:17:40 跟架構的思維去用AI
00:17:41-00:17:43 你們先解決的是你們的
00:17:43-00:17:45 手頭上的工作怎麼啼笑了
00:17:45-00:17:45 放大了
00:17:46-00:17:46 這些東西
00:17:47-00:17:47 不用
00:17:47-00:17:50 揪結現在我一個小時內就要變成工程師
00:17:50-00:17:51 不用了
00:17:51-00:17:51 你回去了
00:17:52-00:17:53 等到你真的用到的時候
00:17:53-00:17:55 你把這個BP再打開
00:17:55-00:17:56 然後上網搜一下Superpower
00:17:57-00:17:58 大家把視頻都可以教你
00:17:58-00:17:58 對
00:18:04-00:18:06 好這邊我給大家做一個小小的
00:18:07-00:18:07 小小的
00:18:08-00:18:09 演示啊
00:18:09-00:18:11 其實口袋用起來跟
00:18:11-00:18:12 跟Body差不多了
00:18:42-00:19:12 字幕志願者 李宗盛
00:19:12-00:19:42 字幕志願者 李宗盛
00:19:42-00:19:52 Codex唯一厲害的跟Mamai的區別 因為我用習慣的就是因為它有很多最pop的一些SKILL還有一些NCP的一些工具 它這裏能夠直接用到 反正用的最好的很難回去就是了 對所以呢 這裡有個SuperPower那你直接就是一樣的你點擊它 你就可以安裝了免費的 安裝完了以後呢 你要調用的時候隨便創建一個
00:19:53-00:19:55 鞋桿一下就可以調用了
00:19:55-00:19:57 Supfer Power的
