00:00:00-00:00:01 你到底想乾嘛
00:01:46-00:01:47 你到底它要幹甚麼
00:01:47-00:01:48 OK
00:01:48-00:01:50 但它只是有
00:01:50-00:01:52 它只是有它的職位的一些功能
00:01:52-00:01:54 但它不知道你公司是乾啥的
00:01:54-00:01:56 所以你先要寫一個秘密
00:01:56-00:01:57 我到底公司是看啥的
00:01:57-00:01:58 要甚麼風格
00:01:58-00:01:59 是甚麼顏色的
00:01:59-00:02:00 品牌長甚麼樣
00:02:00-00:02:01 對吧
00:02:01-00:02:02 再把這個員工請進來
00:02:02-00:02:03 對吧
00:02:03-00:02:05 你現在要有公司文化
00:02:05-00:02:06 再有員工才會有團隊啊
00:02:06-00:02:07 團隊才需要管理啊
00:02:07-00:02:09 管理才需要系統啊
00:02:09-00:02:09 對吧
00:02:09-00:02:10 一步步來嘛
00:02:10-00:02:11 OK
00:02:11-00:02:15 好了
00:02:15-00:02:17 接下來其實就是一個簡單的分享
00:02:17-00:02:19 因為這個PPT啊
00:02:19-00:02:21 我是真的燒了六個小時
00:02:21-00:02:24 花了幾十塊美金的token啊
00:02:24-00:02:25 結果真的出來
00:02:25-00:02:26 我一個字沒改
00:02:26-00:02:28 做的很漂亮
00:02:28-00:02:28 那我做的話
00:02:28-00:02:31 我可能做幾個月都做不出來
00:02:31-00:02:32 這種效果啊
00:02:32-00:02:33 因為我畢竟不是PPT專業
00:02:33-00:02:35 但它做PPT我真的佩服
00:02:35-00:02:37 而且它完全能理解我的意思
00:02:37-00:02:39 就我跟它說
00:02:39-00:02:42 到底AI時代產生的這個FDE跟OPC
00:02:42-00:02:45 有甚麼共通點跟區別呢
00:02:45-00:02:45 對吧
00:02:45-00:02:47 它們最後會有甚麼樣的一個發展呢
00:02:47-00:02:50 我就給了它這個問題而已
00:02:50-00:02:50 對吧
00:02:50-00:02:53 它就開始幫我收資料
00:02:53-00:02:54 做美工
00:02:54-00:02:56 最後出這個PPT
00:02:56-00:02:56 但有點凝圖
00:02:56-00:02:57 是跑了六個多小時
00:02:57-00:02:59 我一開始以為它當機了
00:02:59-00:03:01 後面花了我這麼多錢
00:03:01-00:03:02 但是結果我是很滿意的
00:03:02-00:03:04 因為不用改一個字
00:03:05-00:03:05 然後呢
00:03:05-00:03:07 就是說FDE跟OPC呢
00:03:07-00:03:09 就是一個是深入的
00:03:09-00:03:09 最大組織
00:03:09-00:03:12 應該是放大的最小組織啊
00:03:15-00:03:18 所以我們說FDE其實就是幫一些很大的組織
00:03:18-00:03:20 升入到現場去
00:03:20-00:03:23 把它的所有的流程給數據化
00:03:23-00:03:25 然後能夠把AI加進去
00:03:25-00:03:26 來管理一些智能體
00:03:26-00:03:28 把一些重復的工作
00:03:28-00:03:29 對吧
00:03:29-00:03:31 用所調的那家公司很厲害的
00:03:31-00:03:32 待會我們介紹一下
00:03:32-00:03:34 用AI來幫它完成大部分的工作啊
00:03:34-00:03:35 然後最小組織呢
00:03:35-00:03:39 OPC就是我可以快速的寫網上寫後來寫產品
00:03:39-00:03:40 最後看一下有沒有需求
00:03:40-00:03:42 要不要連帶還是直接放棄
00:03:42-00:03:45 所以呢你可以看到啊
00:03:45-00:03:47 深入一個複雜組織
00:03:47-00:03:48 連接業務現場
00:03:48-00:03:49 定義判斷機制
00:03:49-00:03:51 最後形成結果回流
00:03:51-00:03:53 而OPC呢就是我夠快
00:03:53-00:03:55 做很多事情來測試
00:03:55-00:03:57 但是它的底層是一樣的
00:03:57-00:03:58 就是場景
00:03:58-00:03:59 場景是甚麼
00:03:59-00:04:00 數據是甚麼
00:04:00-00:04:01 工具是甚麼
00:04:01-00:04:02 規則是甚麼
00:04:02-00:04:03 反饋是甚麼
00:04:03-00:04:05 最後交付有價值的東西
00:04:05-00:04:06 到底是甚麼
00:04:06-00:04:08 兩個物種一套羅技
00:04:08-00:04:10 只是說不一樣的組織啊
00:04:10-00:04:13 所以你可以看到啊
00:04:13-00:04:14 傳統的那個
00:04:14-00:04:16 那個體驗有非常多這些東西啊
00:04:16-00:04:17 甚麼ERP啊
00:04:17-00:04:18 NEC啊
00:04:18-00:04:19 NES啊
00:04:19-00:04:21 就這種是工廠管理的
00:04:21-00:04:23 這種是企業資源規劃的
00:04:23-00:04:25 這個客戶管理系統
00:04:25-00:04:26 包括一些工廠的
00:04:26-00:04:27 一些傳感器啊
00:04:27-00:04:28 還有文檔啊
00:04:28-00:04:29 這些很分散
00:04:29-00:04:30 傳統的企業就是
00:04:30-00:04:30 哇
00:04:30-00:04:31 沒辦法
00:04:31-00:04:33 很多都是老員工的經驗
00:04:33-00:04:34 對吧
00:04:34-00:04:34 很難
00:04:34-00:04:37 很難去給他數據化啊
00:04:37-00:04:39 好
00:04:39-00:04:40 所以你可以看到啊
00:04:40-00:04:41 FDE是乾嘛的
00:04:41-00:04:41 對吧
00:04:41-00:04:42 以前的顧問呢
00:04:42-00:04:43 是給咨詢的
00:04:43-00:04:44 軟件公司呢
00:04:44-00:04:45 是給一個軟件產品的
00:04:45-00:04:46 但FDE呢
00:04:46-00:04:49 是要跟客戶一起啊
00:04:49-00:04:50 把結果跑出來
00:04:50-00:04:52 而且能夠讓大部分的員工
00:04:52-00:04:53 一起用起來啊
00:04:53-00:04:54 雖然啊
00:04:54-00:04:56 我們可以看到啊
00:04:56-00:04:58 其實FDE在AI之前已經有了
00:04:58-00:04:58 只是
00:04:58-00:05:00 只是AI出來
00:05:00-00:05:01 讓這個東西變得更厲害了
00:05:01-00:05:02 OK
00:05:02-00:05:03 所以現在又活起來了啊
00:05:03-00:05:04 所以技術啊
00:05:04-00:05:05 業務理解
00:05:05-00:05:06 用度共創
00:05:06-00:05:07 和結果責任
00:05:07-00:05:09 這個都是FDE要做的
00:05:09-00:05:10 所以你可以看到啊
00:05:10-00:05:11 傳統的軟件公司
00:05:11-00:05:13 它是為很多客戶來做一種
00:05:13-00:05:15 軟件
00:05:15-00:05:16 一種能力
00:05:16-00:05:16 而FDE呢
00:05:16-00:05:18 是為一個客戶呢
00:05:18-00:05:20 做全面路的多種能力啊
00:05:20-00:05:23 所以我們說現在就是
00:05:23-00:05:25 沒有甚麼通用的軟件的未來
00:05:25-00:05:27 就是個性化軟件的時代
00:05:27-00:05:29 因為開發軟件成本太低太低了
00:05:29-00:05:30 你今天回家
00:05:30-00:05:32 你都可以開發一個工作台
00:05:32-00:05:33 開發一個軟件
00:05:33-00:05:33 對吧
00:05:33-00:05:34 就花了幾十塊Token
00:05:34-00:05:36 然後你還可以為自己
00:05:36-00:05:38 開發多種能力
00:05:38-00:05:38 對吧
00:05:38-00:05:40 你就是自己的FDE
00:05:40-00:05:44 所以你可以看到啊
00:05:44-00:05:44 它這個
00:05:44-00:05:48 就是它怎麼把一些工廠
00:05:48-00:05:49 複雜的一些現狀
00:05:49-00:05:50 把它本體化
00:05:50-00:05:52 數據化啊
00:05:52-00:05:53 包括訂單
00:05:53-00:05:53 飛機
00:05:53-00:05:55 這個是他們最成功的案例
00:05:55-00:05:56 國外的那個
00:05:56-00:05:57 很厲害
00:05:57-00:05:59 做FDE的公司
00:05:59-00:06:01 他們最成功的案例
00:06:01-00:06:02 就把他們的系統
00:06:02-00:06:04 數據
00:06:04-00:06:05 和應用發這些東西的訂單
00:06:05-00:06:06 對象
00:06:06-00:06:07 邏輯
00:06:07-00:06:08 最後動作是甚麼
00:06:08-00:06:10 全部管理起來
00:06:10-00:06:13 然後從生產飛機
00:06:13-00:06:14 OK
00:06:14-00:06:15 排期
00:06:15-00:06:16 零件
00:06:16-00:06:17 等等
00:06:17-00:06:18 缺陷交付
00:06:18-00:06:20 最後從生產飛機
00:06:20-00:06:21 到直接航班管理啊
00:06:21-00:06:22 對
00:06:22-00:06:23 從
00:06:23-00:06:25 從工廠到航空公司
00:06:25-00:06:27 到直接維修等等
00:06:27-00:06:28 全套都是有AI來
00:06:28-00:06:29 看數據
00:06:29-00:06:30 做決策
00:06:30-00:06:32 再實時跟AI對話
00:06:32-00:06:33 怎麼搞這個事情
00:06:33-00:06:34 最後
00:06:34-00:06:35 決策再給到
00:06:35-00:06:37 不同的AI agent
00:06:37-00:06:39 然後人肯定是要最後審核了
00:06:39-00:06:40 到底P4P
00:06:40-00:06:42 這麼貴的維修預算
00:06:42-00:06:43 買一輛新的
00:06:43-00:06:44 還是直接
00:06:44-00:06:46 直接維修呢
00:06:46-00:06:46 對吧
00:06:46-00:06:47 最後有人去判斷了
00:06:47-00:06:52 然後這個Panasonic
00:06:52-00:06:53 也是讓系統維修了
00:06:53-00:06:55 讓系統能夠越變越聰明
00:06:55-00:06:57 這個才是AI
00:06:57-00:06:58 FDE要做的事情
00:06:58-00:06:59 不是光給你購一個系統
00:06:59-00:07:01 是讓這個系統
00:07:01-00:07:03 人越變越聰明
00:07:03-00:07:11 所以我們說FDE就是要走向又大又複雜的組織
00:07:11-00:07:12 往生的去
00:07:12-00:07:15 而OPC就是我們每個人都可以做的
00:07:15-00:07:17 看看身邊有啥需求
00:07:17-00:07:18 趕快開大一個產品
00:07:18-00:07:19 試一下
00:07:19-00:07:20 你給不給錢
00:07:20-00:07:21 給錢
00:07:21-00:07:23 是不是有更多這樣的客戶
00:07:23-00:07:24 拉私運
00:07:24-00:07:25 建網站
00:07:25-00:07:26 最後成立公司
00:07:26-00:07:27 開始收費
00:07:32-00:07:33 所以我說
00:07:33-00:07:34 人呢
00:07:34-00:07:36 現在更多的工作是在選擇問題
00:07:36-00:07:37 判斷
00:07:37-00:07:38 這個才是關鍵
00:07:38-00:07:41 因為財富不是努力的獎賞
00:07:41-00:07:43 是給判斷的一個
00:07:43-00:07:45 真正的獎賞是給判斷的
00:07:45-00:07:46 還有認知
00:07:46-00:07:48 所以人的工作其實更升級了
00:07:48-00:07:49 我就只做判斷
00:07:49-00:07:51 因為以前時薪也是承斷很高的
00:07:51-00:07:52 到現在呢
00:07:52-00:07:55 你可以看看我剛才演示了一大堆
00:07:55-00:07:58 其實從研發設計開發運營都可以
00:07:58-00:07:59 對吧
00:07:59-00:08:02 找一個工程師就可以乾十個人了
00:08:02-00:08:03 現在
00:08:06-00:08:08 現在OPC不是說我能不能做出來
00:08:08-00:08:10 而是這玩意到底有沒有人要
00:08:10-00:08:11 對吧
00:08:11-00:08:12 我做了
00:08:12-00:08:13 我可能做了一百多個產品
00:08:13-00:08:15 最後沒有一個人買單了
00:08:15-00:08:16 所以其實呢
00:08:16-00:08:19 國外有幾個很成功的案例
00:08:19-00:08:20 其實都是跟照片有關的
00:08:20-00:08:22 POOT-O-EI這個
00:08:22-00:08:26 它其實厲害的就是我用最小版本的一些產品
00:08:26-00:08:27 最後實現了整個電路
00:08:27-00:08:28 我開公司收錢
00:08:28-00:08:30 全世界付款
00:08:30-00:08:31 怎麼停止怎麼迭代
00:08:31-00:08:32 我跑通了這個流程
00:08:32-00:08:34 我自己也變工程師了
00:08:34-00:08:35 對吧
00:08:35-00:08:36 最後跑了十二個項目
00:08:36-00:08:37 就一個項目賺錢了
00:08:37-00:08:38 跟照片有關的
00:08:38-00:08:40 第二個中國的這個
00:08:40-00:08:44 它做了一個小光小貓補光燈啊
00:08:44-00:08:46 Apps 到上面可以收到的
00:08:46-00:08:48 它也是做了幾十個產品啊
00:08:48-00:08:50 最後呢發現
00:08:50-00:08:52 有不同的補光顏色拍照
00:08:52-00:08:54 人家是願意付費的
00:08:54-00:08:55 因為市面上沒有這樣的工具
00:08:55-00:08:56 雖然很簡單
00:08:56-00:08:58 但是人家要用的時候就是付費的
00:08:58-00:08:59 有人用過是嗎
00:08:59-00:09:00 點頭
00:09:00-00:09:01 我也不知道啊
00:09:01-00:09:03 這拍照跟我比較少用
00:09:03-00:09:07 反正它就能夠很快速的
00:09:07-00:09:09 把自媒體跟這個產品做起來了
00:09:09-00:09:12 就我分享我怎麼做這個產品的呀
00:09:12-00:09:14 然後用戶真的有很多啊
00:09:14-00:09:16 然後又變成自媒體加產品
00:09:19-00:09:20 好所以呢
00:09:20-00:09:21 !其實今天給大家學的
00:09:21-00:09:22 就是未來的生意
00:09:22-00:09:23 大部分
00:09:23-00:09:24 會往這個方向靠了
00:09:24-00:09:25 要不就是
00:09:25-00:09:27 企業越來越高向
00:09:27-00:09:28 做FDE
00:09:28-00:09:29 系統化
00:09:29-00:09:30 自動化
00:09:30-00:09:31 把AI嵌在這個系統裡面
00:09:31-00:09:33 裡面大部分是AI員工
00:09:33-00:09:34 再來的就是OPC
00:09:34-00:09:36 我所有的執行都是AI做的
00:09:36-00:09:37 我只要快速試錯
00:09:37-00:09:38 做出一個好產品
00:09:38-00:09:40 最後能夠有人買單
00:09:40-00:09:41 我再把它
00:09:41-00:09:42 往上去升行
00:09:45-00:09:46 所以呢
00:09:46-00:09:47 真正的Agent boss
00:09:47-00:09:49 你既能把你自己很熟悉的
00:09:49-00:09:50 一個業務做得很深
00:09:50-00:09:52 也能快速的把其他產品
00:09:52-00:09:54 能夠跑起來看看
00:09:54-00:09:55 這個才是我們
00:09:55-00:09:58 真的要去花長時間去
00:09:58-00:10:00 深入去做的事情
00:10:00-00:10:02 所以呢
00:10:02-00:10:04 我最後也給大家送的一個東西非常好的
00:10:04-00:10:06 我也是讓AI給我收的
00:10:06-00:10:08 就MIT的一個課程
00:10:08-00:10:09 它裡面呢
00:10:09-00:10:10 包括90天的一個路線
00:10:10-00:10:12 我也是一個字沒寫
00:10:12-00:10:13 就是讓AI寫的
00:10:13-00:10:15 但我覺得這個課件我看過
00:10:15-00:10:16 寫的非常好
00:10:16-00:10:17 就怎麼樣
00:10:17-00:10:20 從第一周
00:10:20-00:10:21 我怎麼建一個小Agent
00:10:21-00:10:24 到後面怎麼變Agent團隊等等
00:10:24-00:10:28 所以不要看
00:10:28-00:10:30 我在這裡講課可能真的水平一般般
00:10:30-00:10:32 但是我講過
00:10:32-00:10:33 所有的環節
00:10:33-00:10:34 講基礎我不行
00:10:34-00:10:36 就是做AI的助教
00:10:36-00:10:37 對吧
00:10:37-00:10:38 講這些知識點
00:10:38-00:10:39 我不好講
00:10:39-00:10:40 我就做成文件
00:10:40-00:10:41 大家回去看
00:10:41-00:10:42 以後有甚麼問題呢
00:10:42-00:10:43 也可以再問我
00:10:43-00:10:44 但是呢
00:10:44-00:10:48 我給大家做百分百的準備
00:10:48-00:10:50 這都是AI用三百個小時逃出來的
00:10:50-00:10:52 對
00:10:52-00:10:54 差不多吧
00:10:54-00:10:55 反正
00:10:55-00:10:56 反正
00:10:56-00:10:57 都可以少很多
00:10:57-00:11:00 沒有全套的
00:11:00-00:11:02 你們報名的網站
00:11:02-00:11:04 到這個知識網站
00:11:04-00:11:06 到我的視頻Agent
00:11:06-00:11:07 對吧
00:11:07-00:11:08 等等等等
00:11:08-00:11:10 你就是這個MIT的課程嗎
00:11:10-00:11:12 就在這裡啊
00:11:12-00:11:13 給的名字給你們嗎
00:11:13-00:11:14 誒
00:11:14-00:11:15 我看看啊
00:11:15-00:11:16 就是你起的名字叫MIT
00:11:16-00:11:17 不是啦
00:11:17-00:11:19 是美國那個MIT學院啊
00:11:19-00:11:21 對啊
00:11:21-00:11:22 對啊
00:11:22-00:11:23 對啊
00:11:23-00:11:25 對我只是把它變成了中文
00:11:25-00:11:26 把它重點弄下來了
00:11:26-00:11:27 對
00:11:27-00:11:29 那就可以去去
00:11:31-00:11:32 對
00:11:32-00:11:33 就這兩個
00:11:34-00:11:35 就你可以
00:11:35-00:11:36 你也可以拿Agent search
00:11:36-00:11:37 去search
00:11:37-00:11:38 反正我就是search
00:11:38-00:11:39 對吧
00:11:39-00:11:41 這個課可能會來很多企業家啊
00:11:41-00:11:43 或者已經會用AI的人了
00:11:43-00:11:44 那他們上我這個課
00:11:44-00:11:46 後面想要實操的話
00:11:46-00:11:47 你有甚麼好的課借給我啊
00:11:47-00:11:48 之類的
00:11:48-00:11:50 那他就全網說
00:11:50-00:11:51 Agent Reach
00:11:51-00:11:53 他說MIT的這幾個課程很適合哦
00:11:53-00:11:54 他就給我了
00:11:54-00:11:55 那我就說
00:11:55-00:11:57 那你幫我用到這個網站裡面
00:11:57-00:11:58 等等
00:11:58-00:11:59 OK
00:11:59-00:12:04 所以其實關鍵的不是你來聽了甚麼課
00:12:04-00:12:06 而是說我學到一些概念有起發了
00:12:06-00:12:07 我知道步驟了
00:12:07-00:12:10 回去真的去不斷的執行
00:12:10-00:12:14 中文字幕提供的執行 稍的都肯越多 你才能學的越快啊
00:12:14-00:12:17 所以我今天的分享就到這裡啊
00:12:17-00:12:21 很感謝大家真的 又從香港上來啊 又從各地過來啊
00:12:21-00:12:23 很感謝大家真次的支持啊
00:12:23-00:12:27 好 那我今天分享就到這 謝謝你們
00:12:33-00:12:35 指劍
00:12:40-00:12:41 然後接著
00:12:48-00:12:49 好就到我來了
00:12:49-00:12:53 然後剛其實看著大家非常的夢圈
00:12:53-00:12:55 然後我們現在留一點點時間
00:12:55-00:12:58 其實我們這次課程的已經是完全完整了
00:12:58-00:13:00 然後呢接下來的一些
00:13:00-00:13:03 是為瞭解決一些技術的科學上網問題
00:13:03-00:13:07 甚至剛剛對於全老哥講的名詞
00:13:07-00:13:09 聽不懂呢
00:13:09-00:13:11 也可以再提問一下
00:13:11-00:13:19 就在這個網站上
00:13:19-00:13:20 除了有些視頻
00:13:20-00:13:22 視頻沒有
00:13:22-00:13:24 就是我發到群里
00:13:24-00:13:26 群公告里的呀
00:13:26-00:13:26 對呀
00:13:26-00:13:29 就我把所有的知識點都放在這個網站了
00:13:29-00:13:31 不要再問我資料在哪裡了
00:13:31-00:13:32 我現在很繁盛的事情
00:13:32-00:13:33 好不好
00:13:33-00:13:37 就是有人甚麼發一個PDF到群
00:13:37-00:13:39 外面都會很生氣
00:13:39-00:13:40 因為我已經弄好
00:13:40-00:13:41 OK
00:13:41-00:13:43 對
00:13:43-00:13:44 對,我們這樣可以
00:13:44-00:13:45 我聽會可以
00:13:45-00:13:46 哎呀,慢慢講
00:13:46-00:13:47 那可以啊
00:13:47-00:13:48 對
00:13:48-00:13:50 因為我半年已經肯定要講
00:13:50-00:13:51 對
00:13:51-00:13:51 對
00:13:51-00:13:53 對
00:13:53-00:13:53 聽聽
00:13:53-00:13:54 聽聽
00:13:54-00:13:55 聽聽聽
00:13:55-00:13:56 聽聽聽
00:13:56-00:13:56 聽聽聽聽
00:13:56-00:13:57 聽聽聽聽
00:13:57-00:13:58 就說實在話
00:13:58-00:14:01 程序員的一個特徵是不善言辭
00:14:01-00:14:06 那像Channel哥 懂技術的人 又啃講的人其實還蠻少
00:14:06-00:14:09 但是他的確實有點快
00:14:09-00:14:12 所以大家有問題的話可以隨時問 沒問題
00:14:31-00:14:36 有否不明白 從誰開始聽不明白 一定不明白的
00:14:36-00:14:38 好 請一請 一定請
00:14:38-00:14:49 其實你做不到 有一種事情是情常的 各個會有偏差不出奇的
