00:00:00-00:00:01 做出一個七八糟的東西出來
00:01:38-00:01:40 AI agent太厲害了
00:01:40-00:01:41 一個公司要往前走
00:01:41-00:01:44 需要把大量的AI員工帶進來
00:01:44-00:01:45 帶進來的第一個問題就是
00:01:45-00:01:47 你家公司有誰會管
00:01:47-00:01:48 會去操作
00:01:48-00:01:49 會去指導
00:01:49-00:01:50 會去orchestrate
00:01:50-00:01:51 這一批AI員工
00:01:51-00:01:53 這些人要幫他找出來
00:01:53-00:01:55 如果公司裡面沒有
00:01:55-00:01:56 就要招進來
00:01:56-00:01:58 我這個呢
00:01:58-00:01:59 一句話沒改
00:01:59-00:02:00 我就發給AI就搞定了
00:02:00-00:02:02 那背後你甚麼原理呢
00:02:02-00:02:03 為甚麼可以這樣啊
00:02:03-00:02:04 其實呢
00:02:04-00:02:05 背後是非常
00:02:05-00:02:08 複雜的一個hardness體系啊
00:02:08-00:02:10 所以你沒有hardness呢
00:02:10-00:02:11 你根本控制不出
00:02:11-00:02:12 它到底做出來的
00:02:12-00:02:14 聲音能不能跟你一模一樣啊
00:02:14-00:02:15 對吧
00:02:15-00:02:16 它的文字和那個
00:02:16-00:02:18 那個語音的對齊度
00:02:18-00:02:19 夠不夠高啊
00:02:19-00:02:19 對吧
00:02:19-00:02:21 它的內容會不會有變啊
00:02:21-00:02:22 等等等等啊
00:02:22-00:02:23 但是你有hardness呢
00:02:23-00:02:24 你就可以
00:02:24-00:02:25 下次再找一條視頻
00:02:25-00:02:27 再餵給它一句話
00:02:27-00:02:27 它又出來了
00:02:27-00:02:28 OK
00:02:28-00:02:29 那怎麼來做呢
00:02:29-00:02:30 我們來看一下
00:02:30-00:02:34 這只是一個案例啊
00:02:34-00:02:35 回去呢
00:02:35-00:02:36 如果你想做小紅書
00:02:36-00:02:38 它也有一堆流程
00:02:38-00:02:39 一堆harness在裡面
00:02:39-00:02:40 對吧
00:02:40-00:02:40 但是呢
00:02:40-00:02:41 這就是一個
00:02:41-00:02:43 我們說的這個harness體系啊
00:02:43-00:02:46 第一步你要找到你原始的視頻
00:02:46-00:02:47 還是文稿
00:02:47-00:02:48 對吧
00:02:48-00:02:48 然後呢
00:02:48-00:02:50 叫做去AI位很重要
00:02:50-00:02:51 如果是
00:02:51-00:02:53 我這個是直接複製啊
00:02:53-00:02:57 跟我要發一篇文章去AI位不一樣啊
00:02:57-00:02:58 但是我之前做的
00:02:58-00:03:00 是需要改寫的
00:03:00-00:03:01 對
00:03:01-00:03:02 就是它也不文章
00:03:02-00:03:03 然後你讓AI改寫
00:03:03-00:03:04 結果寫出來
00:03:04-00:03:05 很AI位
00:03:05-00:03:07 所以你第一個skill裝完了
00:03:07-00:03:09 skill它就是harness的一種
00:03:09-00:03:10 OK
00:03:10-00:03:11 你agent呢
00:03:11-00:03:13 是告訴這個這個員工
00:03:13-00:03:14 他是做甚麼工作的
00:03:14-00:03:15 skill他有甚麼技能
00:03:15-00:03:16 對吧
00:03:16-00:03:17 然後接下來
00:03:17-00:03:18 你再創一些harness
00:03:18-00:03:20 就是你在用這些技能的時候
00:03:20-00:03:21 你要遵守甚麼規則
00:03:21-00:03:23 就是你是一個老闆
00:03:23-00:03:23 對吧
00:03:23-00:03:24 我公司
00:03:24-00:03:25 就是我的
00:03:25-00:03:26 你這個員工
00:03:26-00:03:27 agent
00:03:27-00:03:28 skill甚麼技能
00:03:28-00:03:29 對吧
00:03:29-00:03:30 接下來做的事情
00:03:30-00:03:31 有甚麼限制
00:03:31-00:03:34 每一個環節我都用react
00:03:34-00:03:35 把它跑一個mvp
00:03:35-00:03:37 react甚麼東西啊
00:03:37-00:03:38 邊走邊看嘛
00:03:38-00:03:39 對吧
00:03:39-00:03:39 剛剛講了
00:03:39-00:03:40 第一個架構
00:03:40-00:03:41 你不要一來就
00:03:41-00:03:42 pand and execute
00:03:42-00:03:43 太貴了
00:03:43-00:03:43 對吧
00:03:43-00:03:45 你不要一來就multi-legion
00:03:45-00:03:46 你都不知道你要乾嘛
00:03:46-00:03:47 你乾嘛multi-legion
00:03:47-00:03:47 對吧
00:03:47-00:03:48 你先react
00:03:48-00:03:50 每一個環節跑一遍
00:03:50-00:03:51 第一個環節
00:03:51-00:03:52 去AI位
00:03:52-00:03:53 檢查一下內容行不行啊
00:03:53-00:03:54 不行的話
00:03:54-00:03:55 哪裡不行啊
00:03:55-00:03:56 那個harness
00:03:56-00:03:58 是要講清楚規則了
00:03:58-00:04:01 然後把這個去AI的skill
00:04:01-00:04:02 位給他
00:04:02-00:04:03 第一關
00:04:03-00:04:04 跑通了
00:04:04-00:04:06 把它close掉了
00:04:06-00:04:08 就是第一個loop了
00:04:08-00:04:09 第一個完成了
00:04:09-00:04:10 下一個loop
00:04:10-00:04:10 我要配音
00:04:10-00:04:12 那我就要找啊
00:04:12-00:04:13 我嘗試找了
00:04:13-00:04:14 很多收費很貴
00:04:14-00:04:15 又沒有cli的
00:04:15-00:04:16 我全部排除了
00:04:16-00:04:18 因為它不能大量的生成
00:04:18-00:04:21 不能很方便的自動化的生成
00:04:21-00:04:23 所以我必須要找一個有cli的
00:04:23-00:04:25 並且我讓我的agent
00:04:25-00:04:26 寫成腳本
00:04:26-00:04:26 api
00:04:26-00:04:28 我每次一調一篇文稿過去
00:04:28-00:04:31 它直接調用那個cli和api
00:04:31-00:04:31 直接訓練
00:04:31-00:04:33 訓練完返回給我
00:04:33-00:04:34 就是我的配音了
00:04:34-00:04:35 ok
00:04:35-00:04:36 這一步又close掉了以後
00:04:36-00:04:38 我後面不用再訓練這個語音了
00:04:38-00:04:39 它就能自己搞了
00:04:39-00:04:40 ok
00:04:40-00:04:42 這個就是這個fish audio
00:04:42-00:04:44 可以大家去研究一下
00:04:44-00:04:46 國外最厲害的其中一個
00:04:46-00:04:48 無論是做配音還是數字能的
00:04:48-00:04:49 它有cli
00:04:49-00:04:51 重點就是它能夠給你自動化
00:04:51-00:04:53 第四個分鏡
00:04:53-00:04:55 它能不能夠幫你做
00:04:55-00:04:56 我是做PPT
00:04:56-00:04:57 英文教學為主
00:04:57-00:04:58 這一次
00:04:58-00:04:59 包括我的助教
00:04:59-00:05:01 都是教學為主
00:05:01-00:05:02 PPT的登鏡
00:05:02-00:05:03 PPT的動畫
00:05:03-00:05:04 然後hyperframe
00:05:04-00:05:06 這個也是很出名的
00:05:06-00:05:08 Codex裡面的一個工具
00:05:08-00:05:09 幫你剪視頻
00:05:09-00:05:11 以前我們的剪視頻太痛苦了
00:05:11-00:05:11 對吧
00:05:11-00:05:13 打開剪印每一秒
00:05:13-00:05:15 每一幀在那裡調調調
00:05:15-00:05:17 那個語音還要對齊對吧
00:05:17-00:05:18 現在我
00:05:18-00:05:20 一個管件都沒有打開
00:05:20-00:05:22 它剪的全部對齊的
00:05:22-00:05:24 就是你的hunners要寫好
00:05:24-00:05:24 ok
00:05:24-00:05:27 然後再來
00:05:27-00:05:29 這裡就要檢查了對吧
00:05:29-00:05:32 不然你如果錯了一個最後成篇了
00:05:32-00:05:34 你再去改很費錢
00:05:34-00:05:36 所以你一定要在每一個環節
00:05:36-00:05:39 哪一個環節很關鍵的時候
00:05:39-00:05:41 你要給它設置很多審查
00:05:41-00:05:43 包括語意有沒有問題啊
00:05:43-00:05:45 佈局有沒有問題啊等等
00:05:45-00:05:46 檢查完了再推字幕
00:05:46-00:05:47 慢慢的
00:05:47-00:05:48 給封面
00:05:48-00:05:49 發佈
00:05:49-00:05:50 自動化發佈
00:05:50-00:05:51 最後交付
00:05:51-00:05:52 這個機器人就close掉了
00:05:52-00:05:53 ok
00:05:53-00:05:54 close掉以後呢
00:05:54-00:05:55 你後面有甚麼抖印字
00:05:55-00:05:56 你直接發給它
00:05:56-00:05:57 它就會做了
00:05:57-00:05:57 然後再來呢
00:05:57-00:05:58 你選模型
00:05:58-00:05:59 這裡面
00:05:59-00:05:59 對吧
00:05:59-00:06:00 簡單的
00:06:00-00:06:01 給lunner
00:06:01-00:06:02 複雜的
00:06:02-00:06:03 有衝突
00:06:03-00:06:04 要解決bug的
00:06:04-00:06:05 給這個
00:06:05-00:06:06 受啊
00:06:06-00:06:07 就你去選模型
00:06:07-00:06:08 每一個close
00:06:08-00:06:10 你都可以跟Hunless
00:06:10-00:06:11 寫清楚
00:06:11-00:06:13 我執行這個loop的時候
00:06:13-00:06:14 我要掉便宜的
00:06:14-00:06:15 然後我執行這個loop
00:06:15-00:06:16 我要掉貴的
00:06:16-00:06:17 因為它比較複雜
00:06:17-00:06:17 ok
00:06:17-00:06:19 都可以寫在Hunless裡面
00:06:23-00:06:23 好
00:06:23-00:06:24 接下來了
00:06:24-00:06:25 我的助教又來了
00:06:25-00:06:27 我們來看一下啊
00:06:27-00:06:29 Hunless到底是甚麼
00:06:29-00:06:31 深刻理解一下
00:06:32-00:06:33 一個AI模型
00:06:33-00:06:35 在兩個項目里
00:06:35-00:06:36 表現卻像兩種
00:06:36-00:06:38 完全不同的產品
00:06:38-00:06:39 有的agent
00:06:39-00:06:41 接到一句任務
00:06:41-00:06:42 就能自己找資料
00:06:42-00:06:43 改文件
00:06:43-00:06:43 跑測試
00:06:43-00:06:45 最後把結果交回來
00:06:45-00:06:46 另一個
00:06:46-00:06:47 卻不斷追問
00:06:47-00:06:48 改完
00:06:48-00:06:49 又把原來的功能弄壞
00:06:50-00:06:51 差別
00:06:51-00:06:52 很多時候
00:06:52-00:06:53 不在模型本身
00:06:53-00:06:54 而在模型外面
00:06:54-00:06:56 那套工作系統
00:06:56-00:06:57 這套系統
00:06:57-00:06:58 叫Hunless
00:06:58-00:07:00 Hunless Engineering
00:07:00-00:07:01 就是為AI agent
00:07:01-00:07:02 搭建工具
00:07:02-00:07:03 環境
00:07:03-00:07:04 和反饋機制
00:07:04-00:07:07 OpenAI團隊做過一個內部實驗
00:07:07-00:07:08 從空倉庫開始
00:07:08-00:07:09 讓Codex
00:07:09-00:07:10 參與生成代碼
00:07:10-00:07:11 測試
00:07:11-00:07:11 文檔
00:07:11-00:07:12 CI
00:07:12-00:07:13 和內部工具
00:07:13-00:07:14 最後
00:07:14-00:07:16 形成約100萬行倉庫內容
00:07:16-00:07:18 和1500個pool request
00:07:19-00:07:21 這個案例不是效率承諾
00:07:21-00:07:23 它真正說明的是
00:07:23-00:07:24 模型能寫代碼以後
00:07:24-00:07:26 人的工作開始上移
00:07:26-00:07:27 把目標說清楚
00:07:27-00:07:29 給Agent能用的工具
00:07:29-00:07:30 再把反饋
00:07:30-00:07:32 做成它可以執行的規則
00:07:32-00:07:35 理解Hunless之前
00:07:35-00:07:36 先把三個詞分開
00:07:36-00:07:38 Prompt Engineering
00:07:38-00:07:40 !關心這句話怎麼說
00:07:40-00:07:42 Context Engineering
00:07:42-00:07:45 !關心模型此刻能看到哪些資料
00:07:45-00:07:46 Hunless Engineering
00:07:46-00:07:48 再往外一層
00:07:48-00:07:50 它規定Agent能調用甚麼工具
00:07:50-00:07:51 擁有甚麼權限
00:07:51-00:07:53 按甚麼流程執行
00:07:53-00:07:55 以及失敗以後怎麼回來
00:07:55-00:07:56 Prompt
00:07:56-00:07:57 是一張指定卡
00:07:57-00:07:58 Context
00:07:58-00:08:00 是工作台上的材料
00:08:00-00:08:01 Prompt
00:08:01-00:08:02 是整間工廠的運行方式
00:08:02-00:08:05 先看Prompt
00:08:05-00:08:06 一個清楚的提示詞
00:08:06-00:08:08 會寫明目標
00:08:08-00:08:08 背景
00:08:08-00:08:09 輸出格式
00:08:09-00:08:10 和限制條件
00:08:10-00:08:12 這能明顯改善一次回答
00:08:12-00:08:14 但它沒有持續執行能力
00:08:14-00:08:16 任務跨過多輪以後
00:08:16-00:08:18 模型還要讀文件
00:08:18-00:08:19 調用工具
00:08:19-00:08:20 檢查結果
00:08:20-00:08:21 甚至處理失敗
00:08:21-00:08:23 繼續把所有要求
00:08:23-00:08:25 塞進一條超長提示詞
00:08:25-00:08:26 只會讓這張指定卡
00:08:26-00:08:28 越來越難維護
00:08:28-00:08:30 接下來是
00:08:30-00:08:31 Context Engineering
00:08:31-00:08:34 它要做的不是把資料全部塞進去
00:08:34-00:08:35 而是篩選
00:08:35-00:08:36 壓縮
00:08:36-00:08:37 排序和更新
00:08:37-00:08:39 模型準備改一個登錄模塊時
00:08:39-00:08:41 需要看到當前需求
00:08:41-00:08:42 相關代碼
00:08:42-00:08:43 架構規則
00:08:43-00:08:44 和最近的錯誤記錄
00:08:44-00:08:47 不需要同時讀完整個公司的知識庫
00:08:47-00:08:49 好的 上下文
00:08:49-00:08:50 像一張地圖
00:08:50-00:08:52 先告訴Agent去哪裡
00:08:52-00:08:53 需要細節時
00:08:53-00:08:54 再按目錄深入
00:08:54-00:08:56 這叫漸進披露
00:08:56-00:08:58 到了Harness
00:08:58-00:09:00 問題從模型看甚麼
00:09:00-00:09:01 變成整個系統
00:09:01-00:09:02 怎樣完成工作
00:09:02-00:09:04 左邊是目標
00:09:04-00:09:04 規範
00:09:04-00:09:05 知識
00:09:05-00:09:06 和當前計劃
00:09:06-00:09:07 中間的Agent
00:09:07-00:09:09 根據這些信息做判斷
00:09:09-00:09:10 右邊是命令
00:09:10-00:09:11 文件
00:09:11-00:09:12 API
00:09:12-00:09:12 Skills
00:09:12-00:09:13 和全線邊界
00:09:13-00:09:15 執行結果
00:09:15-00:09:16 不會直接結束
00:09:16-00:09:17 測試
00:09:17-00:09:17 評審
00:09:17-00:09:18 和日誌
00:09:18-00:09:20 會把結果重新送回
00:09:20-00:09:21 下一輪上下文
00:09:21-00:09:22 所以Harness
00:09:22-00:09:24 更接近一個控制系統
00:09:24-00:09:25 它把理解
00:09:25-00:09:26 執行和反饋
00:09:26-00:09:27 連成閉環
00:09:27-00:09:30 Agent第一次做錯很正常
00:09:30-00:09:32 真正影響可靠性的
00:09:32-00:09:34 是它能不能從錯誤里恢復
00:09:34-00:09:36 一條完整面路
00:09:36-00:09:37 從意圖開始
00:09:37-00:09:38 經過計劃
00:09:38-00:09:39 執行和驗證
00:09:39-00:09:41 驗證通過就交付
00:09:41-00:09:42 驗證失敗
00:09:42-00:09:43 要返回錯誤證據
00:09:43-00:09:45 修復路徑和停止條件
00:09:45-00:09:47 再更新計劃
00:09:47-00:09:49 如果連續失敗
00:09:49-00:09:50 預算超限
00:09:50-00:09:51 !或者遇到權限
00:09:51-00:09:52 與高風險判斷
00:09:52-00:09:53 就轉交給人
00:09:53-00:09:55 目標不是無限重施
00:09:55-00:09:56 而是讓每一次失敗
00:09:56-00:09:58 都帶回新信息
00:09:58-00:10:00 把Hunless拆開
00:10:00-00:10:02 至少能看到六類部件
00:10:02-00:10:03 第一是支持地圖
00:10:03-00:10:05 讓Agent找到權威資料
00:10:05-00:10:07 第二是規格和計劃
00:10:07-00:10:08 記錄目標
00:10:08-00:10:09 邊界與決策
00:10:09-00:10:11 第三是工具和Skills
00:10:11-00:10:14 把重復動作做成可復用流程
00:10:14-00:10:16 後面還有測試與評價
00:10:16-00:10:17 架構約束
00:10:17-00:10:18 觀測與恢復
00:10:18-00:10:21 OK
00:10:21-00:10:23 好
00:10:23-00:10:29 大家大概有個概念
00:10:29-00:10:31 其實能不能用好AI呢
00:10:31-00:10:32 現在有很多人
00:10:32-00:10:33 屬於
00:10:33-00:10:33 哇
00:10:33-00:10:35 屬於毛球池
00:10:35-00:10:35 就是
00:10:35-00:10:36 很多細節
00:10:36-00:10:38 我一直讓AI做出來
00:10:38-00:10:38 一直給他
00:10:38-00:10:39 這個截圖
00:10:39-00:10:40 那個細節
00:10:40-00:10:41 一直跟他對話
00:10:41-00:10:41 對吧
00:10:41-00:10:42 這樣其實很累
00:10:42-00:10:43 你那個人呢
00:10:43-00:10:44 就在裡面loop了
00:10:44-00:10:44 對吧
00:10:44-00:10:45 那個loop裡面
00:10:45-00:10:46 就是你
00:10:46-00:10:47 在裡面給任務
00:10:47-00:10:48 你就是那個Hunless
00:10:48-00:10:49 對吧
00:10:49-00:10:51 所以要改變這個現狀呢
00:10:51-00:10:53 你要給他一個完整的Hunless
00:10:53-00:10:55 的所有文件
00:10:55-00:10:56 然後你是管理他
00:10:56-00:10:57 而不是命令他
00:10:57-00:10:59 命令他實在是太痛苦了
00:10:59-00:10:59 OK
00:10:59-00:11:01 而且最後不可能
00:11:01-00:11:04 能給你交付一個超於你預期的東西
00:11:04-00:11:05 因為你在控制他
00:11:05-00:11:07 他最多就是給你交付
00:11:07-00:11:09 你想象中的東西而已
00:11:09-00:11:09 最多最多
00:11:09-00:11:11 但是你做好Hunless
00:11:11-00:11:12 他能做到超乎你的想象
00:11:12-00:11:13 那網站
00:11:13-00:11:16 他可以用最好的東西給你做出來
00:11:16-00:11:16 比如說
00:11:16-00:11:17 哇
00:11:17-00:11:18 怎麼這麼厲害
00:11:18-00:11:19 但你的Hunless寫的好
00:11:19-00:11:21 你就能實現這樣的一個現狀
00:11:21-00:11:25 所以呢
00:11:25-00:11:26 做一條視頻呢
00:11:26-00:11:27 他有很多的步驟
00:11:27-00:11:30 包括甚麼對嘴型
00:11:30-00:11:31 這些hyperframe
00:11:31-00:11:32 所以這個不是說
00:11:32-00:11:33 我來教你們做視頻
00:11:33-00:11:35 而是告訴你這個步驟
00:11:35-00:11:37 你是要去善於
00:11:37-00:11:39 拆解任務的步驟
00:11:39-00:11:42 找到合適的skill和工具
00:11:42-00:11:44 然後最後寫好Hunless
00:11:44-00:11:46 這個才是你們要掌握的技能
00:11:46-00:11:47 OK嗎
00:11:47-00:11:48 你們有很多的任務場景
00:11:48-00:11:50 所以我說AI課跟普通課不一樣
00:11:50-00:11:51 對吧
00:11:51-00:11:53 第一次看到一個課呢
00:11:53-00:11:54 聯名層可以跨越這麼大
00:11:54-00:11:55 然後行業呢
00:11:55-00:11:56 也可以跨越這麼大
00:11:56-00:11:57 對吧
00:11:57-00:11:58 你是做每個行業的
00:11:58-00:11:59 每個人都不一樣
00:11:59-00:12:00 但是AI呢
00:12:00-00:12:02 就是你要學底層的邏輯
00:12:02-00:12:03 底層的知識
00:12:03-00:12:04 你才能把他用好
00:12:04-00:12:06 所以是各行各業各種年齡
00:12:06-00:12:08 都需要學的一個東西
00:12:08-00:12:09 OK
00:12:09-00:12:10 那學甚麼呢
00:12:10-00:12:12 就是怎麼去寫好你的Hunless
00:12:12-00:12:14 而找到合適的工具
00:12:14-00:12:18 好
00:12:18-00:12:22 還有很多我這次準備這個課程
00:12:22-00:12:26 對我收穫最大的就是我在跨界做了很多AI的試試
00:12:26-00:12:28 這個也是我自己的收穫
00:12:28-00:12:28 OK
00:12:28-00:12:34 那核心就是你怎麼輸入一些你想要的東西給他
00:12:34-00:12:36 他可以像彭總經常提的
00:12:36-00:12:37 可以拆考對吧
00:12:37-00:12:38 可以模仿
00:12:38-00:12:39 最後呢
00:12:39-00:12:40 你給他Hunless
00:12:40-00:12:42 告訴他要怎麼改
00:12:42-00:12:43 怎麼做
00:12:43-00:12:44 最後做成你要的
00:12:44-00:12:46 好
00:12:46-00:12:47 這些只是一個案例
00:12:47-00:12:48 都不用去細看
00:12:48-00:12:49 這只是我在做的時候
00:12:49-00:12:50 對吧
00:12:50-00:12:52 給他Hunless 1
00:12:52-00:12:53 定個風格
00:12:53-00:12:53 Hunless 2
00:12:53-00:12:55 去AI 用到這個
00:12:55-00:12:56 Skill
00:12:56-00:12:56 對吧
00:12:56-00:12:57 Hunless 3
00:12:57-00:12:59 用我這個語音
00:12:59-00:13:00 錄好一段
00:13:00-00:13:01 寫好腳本
00:13:01-00:13:02 下一次
00:13:02-00:13:02 幫我
00:13:02-00:13:04 有文章過來
00:13:04-00:13:06 全部在調用這個API
00:13:06-00:13:06 直接
00:13:06-00:13:08 複製一段語音出來就結束了
00:13:08-00:13:10 然後對嘴型
00:13:10-00:13:11 這個是我用過
00:13:11-00:13:13 有CLI的可以用
00:13:13-00:13:14 對吧
00:13:14-00:13:16 我講那麼多話
00:13:16-00:13:17 同一個動作
00:13:17-00:13:18 他嘴型就可以跟著那個文字了
00:13:18-00:13:20 CLI可以自動用
00:13:20-00:13:23 那都是需要充一點點錢的
00:13:23-00:13:25 Hyperfirm
00:13:25-00:13:27 就是Codex裡面的剪印
00:13:27-00:13:28 你都不用去剪
00:13:28-00:13:30 我一秒鐘都沒剪過
00:13:30-00:13:30 OK
00:13:30-00:13:31 就是他自動剪了
00:13:31-00:13:33 最後
00:13:33-00:13:34 哪裡做的不好
00:13:34-00:13:35 哪裡有問題
00:13:35-00:13:37 每一層都要保留證據
00:13:37-00:13:38 告訴AI
00:13:38-00:13:39 這裡就是有問題
00:13:39-00:13:41 對不起
00:13:41-00:13:42 說的
00:13:42-00:13:42 那個
00:13:42-00:13:45 很多問題
00:13:45-00:13:46 風格不對甚麼
00:13:46-00:13:47 一層一層的
00:13:47-00:13:48 react完了
00:13:48-00:13:49 再把它
00:13:49-00:13:50 做出來
00:13:50-00:13:53 好
00:13:53-00:13:54 然後呢
00:13:54-00:13:55 也要做版本迭代
00:13:55-00:13:56 就是
00:13:56-00:13:57 你慢慢的會發現
00:13:57-00:13:58 你在寫Hunless
00:13:58-00:13:59 做這些文件的時候
00:13:59-00:14:01 會生了一堆
00:14:01-00:14:02 試錯的文件
00:14:02-00:14:05 你的C盤D盤會瘋狂爆炸
00:14:05-00:14:08 所以你定期就要更新版本
00:14:08-00:14:10 所以我前面其實很多是試錯的
00:14:10-00:14:11 幫我
00:14:11-00:14:11 對吧
00:14:11-00:14:12 你手動刪也可以
00:14:12-00:14:14 把Hunless 1做過的試錯文件
00:14:14-00:14:16 它不屬於會調用
00:14:16-00:14:18 和不屬於證據方面的東西
00:14:18-00:14:19 全部刪掉
00:14:19-00:14:20 然後提煉出來
00:14:20-00:14:21 做成Hunless版本2
00:14:21-00:14:22 對吧
00:14:22-00:14:24 就是版本的迭代
00:14:24-00:14:27 跟你流程中的一個一個環節
00:14:27-00:14:29 都可以去設置你的Hunless
00:14:29-00:14:30 OK
00:14:35-00:14:36 好
00:14:36-00:14:36 所以最貴的呢
00:14:36-00:14:37 其實不是出錯
00:14:37-00:14:38 所以我們說
00:14:38-00:14:39 複雜的系統
00:14:39-00:14:41 一定要從縮小它
00:14:41-00:14:43 從小的部件開始做
00:14:43-00:14:45 確保每個小的沒有出錯
00:14:45-00:14:47 你才能
00:14:47-00:14:49 把它拼裝成一個大的系統
00:14:49-00:14:49 所以我們說
00:14:49-00:14:50 最貴的不是出錯
00:14:50-00:14:52 而是出錯到最後才發現了
00:14:52-00:14:54 那你可能要重做
00:14:54-00:14:54 OK
00:14:57-00:14:59 好
00:14:59-00:15:01 這個是我做這個視頻
00:15:01-00:15:02 處理了最久的一個Hunless
00:15:02-00:15:04 那你們可能有不同的任務啊
00:15:04-00:15:05 到時候你們就是
00:15:05-00:15:06 一定要保留證據
00:15:06-00:15:08 並且呢
00:15:08-00:15:09 用電腦能
00:15:09-00:15:11 能看得懂的規則
00:15:11-00:15:11 告訴他
00:15:11-00:15:12 我這個Hunless
00:15:12-00:15:13 要怎麼改
00:15:18-00:15:18 好
00:15:18-00:15:20 有時候這些Hunless
00:15:20-00:15:22 也會出現一些問題啊
00:15:22-00:15:22 所以呢
00:15:23-00:15:24 在寫規則的時候
00:15:24-00:15:25 不是寫了
00:15:25-00:15:26 它就一定會執行的
00:15:26-00:15:28 甚至他有時候會會有一些
00:15:28-00:15:30 就是你第二次在窮富掉
00:15:30-00:15:30 要問他的時候
00:15:30-00:15:31 還是會出錯了
00:15:31-00:15:33 所以這個你一定要
00:15:33-00:15:34 對吧
00:15:34-00:15:34 指向
00:15:34-00:15:36 指向失敗的證據
00:15:36-00:15:37 告訴他這個
00:15:37-00:15:38 這個這個問題在哪
00:15:38-00:15:40 那他下一次不要再犯這個錯啊
00:15:40-00:15:41 這個是可以去實現的
00:15:44-00:15:45 好
00:15:45-00:15:47 那簡單來說呢
00:15:47-00:15:49 對這些就是我們
00:15:49-00:15:51 我們做的一個具體的事情
00:15:51-00:15:52 就是把它寫成規則
00:15:52-00:15:54 但這個也不需要你寫
00:15:54-00:15:55 也是讓AI寫
00:15:55-00:15:56 所以無論是調用
00:15:56-00:15:58 命令堂也好
00:15:58-00:15:59 寫它也好
00:15:59-00:16:00 你不要想的很複雜
00:16:00-00:16:01 現在都不複雜
00:16:01-00:16:02 就是讓AI寫
00:16:02-00:16:04 你只要講清楚能話就可以了
00:16:04-00:16:13 好
00:16:13-00:16:13 其實呢
00:16:13-00:16:14 更實際的是呢
00:16:14-00:16:16 我們來操作一遍這個Harness
00:16:16-00:16:17 那我本身呢
00:16:17-00:16:18 在網站上面
00:16:18-00:16:19 已經給他準備了一個小案例
00:16:19-00:16:21 但我估計呢
00:16:21-00:16:22 大部分人都沒
00:16:22-00:16:24 也有安裝這個這個這個
00:16:24-00:16:25 這個Codex
00:16:25-00:16:26 但不會把你應該也可以
00:16:26-00:16:27 OK
00:16:27-00:16:28 我們呢
00:16:28-00:16:30 就是在創建一個員工的時候
00:16:30-00:16:31 第一個步
00:16:31-00:16:33 就第一步就可以了
00:16:33-00:16:35 最關鍵的是甚麼步驟
00:16:35-00:16:35 我們來看了
00:16:35-00:16:36 現在呢
00:16:36-00:16:37 我們是一家
00:16:37-00:16:39 50人的
00:16:39-00:16:40 羊的跟羊的這個公司
00:16:40-00:16:41 小游戲公司
00:16:41-00:16:43 那未來的老闆呢
00:16:43-00:16:45 最常面對到的問題會是甚麼呢
